"time","Unit.measurements.UPu","Unit.measurements.PPu","Unit.measurements.QPu"
0,1,1,0.3
0.001,1,1,0.3
0.002,1,1,0.3
0.003,1,1,0.3
0.004,1,1,0.3
0.005,1,1,0.3
0.006,1,1,0.3
0.007,1,1,0.3
0.008,1,1,0.3
0.009,1,1,0.3
0.01,1,1,0.3
0.011,1,1,0.3
0.012,1,1,0.3
0.013,1,1,0.3
0.014,1,1,0.3
0.015,1,1,0.3
0.016,1,1,0.3
0.017,1,1,0.3
0.018,1,1,0.3
0.019,1,1,0.3
0.02,1,1,0.3
0.021,1,1,0.3
0.022,1,1,0.3
0.023,1,1,0.3
0.024,1,1,0.3
0.025,1,1,0.3
0.026,1,1,0.3
0.027,1,1,0.3
0.028,1,1,0.3
0.029,1,1,0.3
0.03,1,1,0.3
0.031,1,1,0.3
0.032,1,1,0.3
0.033,1,1,0.3
0.034,1,1,0.3
0.035,1,1,0.3
0.036,1,1,0.3
0.037,1,1,0.3
0.038,1,1,0.3
0.039,1,1,0.3
0.04,1,1,0.3
0.041,1,1,0.3
0.042,1,1,0.3
0.043,1,1,0.3
0.044,1,1,0.3
0.045,1,1,0.3
0.046,1,1,0.3
0.047,1,1,0.3
0.048,1,1,0.3
0.049,1,1,0.3
0.05,1,1,0.3
0.051,1,1,0.3
0.052,1,1,0.3
0.053,1,1,0.3
0.054,1,1,0.3
0.055,1,1,0.3
0.056,1,1,0.3
0.057,1,1,0.3
0.058,1,1,0.3
0.059,1,1,0.3
0.06,1,1,0.3
0.061,1,1,0.3
0.062,1,1,0.3
0.063,1,1,0.3
0.064,1,1,0.3
0.065,1,1,0.3
0.066,1,1,0.3
0.067,1,1,0.3
0.068,1,1,0.3
0.069,1,1,0.3
0.07,1,1,0.3
0.071,1,1,0.3
0.072,1,1,0.3
0.073,1,1,0.3
0.074,1,1,0.3
0.075,1,1,0.3
0.076,1,1,0.3
0.077,1,1,0.3
0.078,1,1,0.3
0.079,1,1,0.3
0.08,1,1,0.3
0.081,1,1,0.3
0.082,1,1,0.3
0.083,1,1,0.3
0.084,1,1,0.3
0.085,1,1,0.3
0.086,1,1,0.3
0.087,1,1,0.3
0.088,1,1,0.3
0.089,1,1,0.3
0.09,1,1,0.3
0.091,1,1,0.3
0.092,1,1,0.3
0.093,1,1,0.3
0.094,1,1,0.3
0.095,1,1,0.3
0.096,1,1,0.3
0.097,1,1,0.3
0.098,1,1,0.3
0.099,1,1,0.3
0.1,1,1,0.3
0.101,1,1,0.3
0.102,1,1,0.3
0.103,1,1,0.3
0.104,1,1,0.3
0.105,1,1,0.3
0.106,1,1,0.3
0.107,1,1,0.3
0.108,1,1,0.3
0.109,1,1,0.3
0.11,1,1,0.3
0.111,1,1,0.3
0.112,1,1,0.3
0.113,1,1,0.3
0.114,1,1,0.3
0.115,1,1,0.3
0.116,1,1,0.3
0.117,1,1,0.3
0.118,1,1,0.3
0.119,1,1,0.3
0.12,1,1,0.3
0.121,1,1,0.3
0.122,1,1,0.3
0.123,1,1,0.3
0.124,1,1,0.3
0.125,1,1,0.3
0.126,1,1,0.3
0.127,1,1,0.3
0.128,1,1,0.3
0.129,1,1,0.3
0.13,1,1,0.3
0.131,1,1,0.3
0.132,1,1,0.3
0.133,1,1,0.3
0.134,1,1,0.3
0.135,1,1,0.3
0.136,1,1,0.3
0.137,1,1,0.3
0.138,1,1,0.3
0.139,1,1,0.3
0.14,1,1,0.3
0.141,1,1,0.3
0.142,1,1,0.3
0.143,1,1,0.3
0.144,1,1,0.3
0.145,1,1,0.3
0.146,1,1,0.3
0.147,1,1,0.3
0.148,1,1,0.3
0.149,1,1,0.3
0.15,1,1,0.3
0.151,1,1,0.3
0.152,1,1,0.3
0.153,1,1,0.3
0.154,1,1,0.3
0.155,1,1,0.3
0.156,1,1,0.3
0.157,1,1,0.3
0.158,1,1,0.3
0.159,1,1,0.3
0.16,1,1,0.3
0.161,1,1,0.3
