"time","gridFollowingPlantPropInt.URefPu","gridFollowingPlantPropInt.URef0Pu","gridFollowingPlantPropInt.injector.QInjPu"
0,1.00229742,1.00229742,-0.3111434229508481
0.001,1.00229742,1.00229742,-0.31114901141311213
0.002,1.00229742,1.00229742,-0.3111545904599584
0.003,1.00229742,1.00229742,-0.31116016011615183
0.004,1.00229742,1.00229742,-0.3111657203834558
0.005,1.00229742,1.00229742,-0.31117127132136746
0.006,1.00229742,1.00229742,-0.31117681291895954
0.007,1.00229742,1.00229742,-0.31118234517206633
0.008,1.00229742,1.00229742,-0.31118786808069676
0.009,1.00229742,1.00229742,-0.31119338182142525
0.01,1.00229742,1.00229742,-0.3111988863398655
0.011,1.00229742,1.00229742,-0.3112043816028342
0.012,1.00229742,1.00229742,-0.31120986761033487
0.013,1.00229742,1.00229742,-0.3112153443623688
0.014,1.00229742,1.00229742,-0.3112208118589433
0.015,1.00229742,1.00229742,-0.3112262701000654
0.016,1.00229742,1.00229742,-0.3112317190857284
0.017,1.00229742,1.00229742,-0.3112371592907489
0.018,1.00229742,1.00229742,-0.3112425906763197
0.019,1.00229742,1.00229742,-0.3112480129811635
0.02,1.00229742,1.00229742,-0.31125342620528734
0.021,1.00229742,1.00229742,-0.3112588303486906
0.022,1.00229742,1.00229742,-0.3112642254113845
0.023,1.00229742,1.00229742,-0.3112696113933586
0.024,1.00229742,1.00229742,-0.3112749882946319
0.025,1.00229742,1.00229742,-0.3112803561152005
0.026,1.00229742,1.00229742,-0.3112857148550657
0.027,1.00229742,1.00229742,-0.31129106451423755
0.028,1.00229742,1.00229742,-0.31129640509271717
0.029,1.00229742,1.00229742,-0.3113017365905007
0.03,1.00229742,1.00229742,-0.3113070590076012
0.031,1.00229742,1.00229742,-0.311312372344021
0.032,1.00229742,1.00229742,-0.3113176765997622
0.033,1.00229742,1.00229742,-0.3113229720998451
0.034,1.00229742,1.00229742,-0.31132825969268096
0.035,1.00229742,1.00229742,-0.3113335383727436
0.036,1.00229742,1.00229742,-0.31133880814002834
0.037,1.00229742,1.00229742,-0.3113440689945483
0.038,1.00229742,1.00229742,-0.3113493209363012
0.039,1.00229742,1.00229742,-0.3113545639652937
0.04,1.00229742,1.00229742,-0.3113597980815225
0.041,1.00229742,1.00229742,-0.3113650232850008
0.042,1.00229742,1.00229742,-0.3113702395757208
0.043,1.00229742,1.00229742,-0.31137544695369757
0.044,1.00229742,1.00229742,-0.3113806454189255
0.045,1.00229742,1.00229742,-0.31138583497141564
0.046,1.00229742,1.00229742,-0.31139101561116644
0.047,1.00229742,1.00229742,-0.3113961873381785
0.048,1.00229742,1.00229742,-0.31140135015245907
0.049,1.00229742,1.00229742,-0.31140650405401166
0.05,1.00229742,1.00229742,-0.311411650728771
0.051,1.00229742,1.00229742,-0.311416789003721
0.052,1.00229742,1.00229742,-0.3114219185964162
0.053,1.00229742,1.00229742,-0.3114270395068581
0.054,1.00229742,1.00229742,-0.31143215173505084
0.055,1.00229742,1.00229742,-0.3114372552809952
0.056,1.00229742,1.00229742,-0.31144235014469707
