time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_QGenPu;SynchronousGenerator_generator_omegaPu;SynchronousGenerator_pss_UpssPu;
0.000000;0.991871;2.507892;4.751019;1.561896;1.000000;0.000000;
0.000000;0.991871;2.507892;4.751019;1.561896;1.000000;-0.000000;
0.000001;0.991871;2.507892;4.751019;1.561896;1.000000;-0.000000;
0.000001;0.991871;2.507892;4.751019;1.561896;1.000000;-0.000000;
0.000002;0.991871;2.507892;4.751019;1.561896;1.000000;-0.000000;
0.000004;0.991871;2.507892;4.751019;1.561896;1.000000;-0.000000;
0.000008;0.991871;2.507893;4.751019;1.561896;1.000000;-0.000000;
0.000012;0.991871;2.507893;4.751019;1.561896;1.000000;-0.000000;
0.000016;0.991871;2.507894;4.751019;1.561896;1.000000;-0.000000;
0.000021;0.991871;2.507895;4.751019;1.561896;1.000000;-0.000000;
0.000025;0.991871;2.507895;4.751018;1.561896;1.000000;-0.000000;
0.000029;0.991871;2.507896;4.751018;1.561896;1.000000;-0.000000;
0.000037;0.991871;2.507897;4.751018;1.561896;1.000000;-0.000001;
0.000045;0.991871;2.507899;4.751018;1.561895;1.000000;-0.000001;
0.000053;0.991871;2.507900;4.751018;1.561895;1.000000;-0.000001;
0.000062;0.991871;2.507901;4.751018;1.561895;1.000000;-0.000001;
0.000078;0.991871;2.507904;4.751018;1.561895;1.000000;-0.000001;
0.000111;0.991871;2.507909;4.751018;1.561895;1.000000;-0.000002;
0.000176;0.991871;2.507918;4.751017;1.561894;1.000000;-0.000003;
0.000308;0.991871;2.507938;4.751016;1.561892;1.000000;-0.000006;
0.000570;0.991871;2.507974;4.751013;1.561889;1.000000;-0.000011;
0.001096;0.991870;2.508041;4.751008;1.561882;1.000000;-0.000021;
0.002146;0.991870;2.508150;4.750998;1.561869;1.000000;-0.000039;
0.003197;0.991869;2.508238;4.750988;1.561857;1.000000;-0.000056;
0.004247;0.991868;2.508307;4.750978;1.561845;1.000000;-0.000070;
0.006348;0.991867;2.508408;4.750960;1.561822;1.000000;-0.000096;
0.008449;0.991866;2.508457;4.750942;1.561800;1.000000;-0.000116;
0.012652;0.991863;2.508452;4.750909;1.561759;1.000000;-0.000144;
0.016091;0.991862;2.508376;4.750883;1.561728;1.000000;-0.000156;
0.019530;0.991860;2.508274;4.750859;1.561700;1.000000;-0.000162;
0.020500;0.991860;2.508244;4.750853;1.561692;1.000000;-0.000162;
0.020500;0.991860;2.508244;4.750853;1.561692;1.000000;-0.000162;
0.020581;0.991860;2.508241;4.750852;1.561691;1.000000;-0.000162;
0.020663;0.991860;2.508239;4.750852;1.561691;1.000000;-0.000162;
