time;GfmEPRI_gfm_epriVoltageControl_PPu;GfmEPRI_gfm_epriVoltageControl_QPu;GfmEPRI_gfm_injectorURI_terminal_V_re;GfmEPRI_gfm_injectorURI_terminal_i_re;GfmEPRI_gfm_injectorURI_terminal_V_im;GfmEPRI_gfm_injectorURI_terminal_i_im;GfmEPRI_gfm_pll_omegaPLLPu;
0.000000;0.656999;0.022892;0.962657;-0.652616;0.284662;-0.101240;1.000108;
0.010000;0.656999;0.022892;0.962657;-0.652616;0.284662;-0.101240;1.000000;
0.020000;0.656999;0.022892;0.962658;-0.652616;0.284662;-0.101240;1.000000;
0.040000;0.657000;0.022893;0.962658;-0.652616;0.284662;-0.101240;1.000007;
0.080000;0.657000;0.022892;0.962657;-0.652616;0.284662;-0.101240;1.000000;
0.160000;0.657000;0.022892;0.962657;-0.652617;0.284662;-0.101240;1.000000;
0.320000;0.657000;0.022892;0.962657;-0.652617;0.284662;-0.101241;1.000000;
0.500000;0.657000;0.022892;0.962657;-0.652617;0.284662;-0.101240;1.000000;
0.500000;0.657000;0.022892;0.962657;-0.652617;0.284662;-0.101240;1.000000;
0.509500;0.661735;0.020189;0.961505;-0.657594;0.283869;-0.103998;0.999543;
0.519000;0.664692;0.016923;0.960368;-0.660837;0.282322;-0.106660;0.999373;
0.538000;0.668884;0.011584;0.958901;-0.665661;0.278483;-0.110025;0.999194;
0.576000;0.673412;0.008477;0.960008;-0.671513;0.269061;-0.107125;0.999132;
0.614000;0.676518;0.008305;0.962618;-0.675901;0.258967;-0.100402;0.999079;
0.652000;0.678242;0.009785;0.966086;-0.678720;0.248172;-0.091341;0.999035;
0.728000;0.678922;0.014327;0.973733;-0.681004;0.225120;-0.070522;0.998995;
0.804000;0.678519;0.018278;0.980717;-0.681686;0.201413;-0.049882;0.998984;
0.956000;0.677551;0.022207;0.991099;-0.681706;0.153637;-0.012910;0.998988;
1.108000;0.677030;0.023795;0.998055;-0.680562;0.105707;0.021400;0.998997;
1.260000;0.676863;0.024371;1.002215;-0.678457;0.057806;0.054448;0.999000;
1.564000;0.676944;0.024597;1.003288;-0.670283;-0.037983;0.119188;0.998998;
2.172000;0.676971;0.024721;0.977882;-0.635442;-0.227777;0.244393;0.999000;
3.388000;0.676975;0.024744;0.822708;-0.499066;-0.575677;0.464183;0.999001;
3.996000;0.677031;0.024921;0.698274;-0.401358;-0.721615;0.550087;0.998998;
3.999999;0.677031;0.024921;0.697224;-0.400589;-0.722299;0.550450;0.998998;
3.999999;0.677141;0.024933;0.697367;-0.400668;-0.722491;0.550593;0.998437;
4.005999;0.673652;0.026374;0.696572;-0.396498;-0.724285;0.548860;0.999368;
4.011999;0.671142;0.028568;0.696229;-0.392414;-0.726053;0.548169;0.999519;
4.023999;0.667633;0.032897;0.696001;-0.385526;-0.729043;0.547805;0.999694;
4.047999;0.663968;0.037321;0.695736;-0.378457;-0.732111;0.547361;0.999816;
4.071999;0.660799;0.039404;0.695157;-0.373989;-0.734040;0.546133;0.999857;
4.119999;0.657163;0.039249;0.693984;-0.371256;-0.735201;0.543500;0.999929;
4.167999;0.655500;0.036995;0.693017;-0.372040;-0.734837;0.541255;0.999977;
4.263999;0.655286;0.031616;0.691878;-0.376919;-0.732689;0.538521;1.000010;
4.359999;0.655914;0.027676;0.691289;-0.381120;-0.730848;0.537067;1.000015;
4.455999;0.656520;0.025327;0.691008;-0.383819;-0.729668;0.536357;1.000011;
4.647999;0.657000;0.023720;0.690839;-0.385706;-0.728844;0.535923;1.000004;
4.839999;0.657102;0.023224;0.690772;-0.386254;-0.728604;0.535757;1.000001;
5.223999;0.657067;0.023011;0.690718;-0.386428;-0.728527;0.535628;1.000000;
5.991999;0.657020;0.022924;0.690686;-0.386473;-0.728506;0.535553;1.000000;
5.999999;0.657020;0.022924;0.690686;-0.386473;-0.728506;0.535553;1.000000;
5.999999;0.009609;1.653071;0.690686;2.115718;-0.728506;2.020834;1.000000;
6.000017;0.009717;1.656022;0.693030;2.112771;-0.727512;2.027757;1.000000;
6.000034;0.009825;1.658972;0.695370;2.109808;-0.726511;2.034669;1.000000;
