time;WPP4A_WPP_wPPControl_measurements_PPu;WPP4A_WPP_wPPControl_measurements_QPu;WPP4A_WPP_wPPControl_measurements_UPu;VariableImpedantFault_variableImpedantFault_ZvPu_re;VariableImpedantFault_variableImpedantFault_ZvPu_im;
0.000000;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000001;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000003;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000006;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000012;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000024;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000035;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000036;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000038;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000041;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000047;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000058;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000082;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000129;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000224;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000414;1.000143;-0.210027;1.000142;0.000000;10000.000000;
0.000603;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.000793;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.000983;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.000987;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.000988;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.000990;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.000993;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.000999;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.001000;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.001001;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.001002;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.001003;1.000142;-0.210027;1.000142;0.000000;10000.000000;
0.001006;1.000142;-0.210027;1.000142;0.000000;10000.000000;
