time;WPP4B_WPP_wPPControl2015_qControl_PWPPu;WPP4B_WPP_wPPControl2015_qControl_QWPPu;WPP4B_WPP_wPPControl2015_qControl_UWPPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;WPP4B_WPP_wT4BCurrentSource_gridProtection_fOCB;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000319;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;-1.000000;
0.000637;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422694;-1.000000;
0.001000;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;-1.000000;
0.001000;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;-1.000000;
0.001320;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;-1.000000;
0.001639;1.000162;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;-1.000000;
0.002279;1.000160;-0.210035;1.000164;0.976169;0.217766;-0.930281;-0.422692;-1.000000;
0.003557;1.000156;-0.210036;1.000165;0.976170;0.217765;-0.930277;-0.422690;-1.000000;
0.006114;1.000143;-0.210036;1.000165;0.976171;0.217762;-0.930265;-0.422685;-1.000000;
0.011227;1.000110;-0.210036;1.000167;0.976175;0.217754;-0.930236;-0.422668;-1.000000;
0.021454;1.000047;-0.210029;1.000173;0.976185;0.217737;-0.930178;-0.422628;-1.000000;
0.031681;1.000001;-0.210030;1.000178;0.976193;0.217726;-0.930139;-0.422596;-1.000000;
0.041908;0.999979;-0.210020;1.000182;0.976198;0.217720;-0.930119;-0.422574;-1.000000;
0.046797;0.999972;-0.210015;1.000184;0.976200;0.217718;-0.930112;-0.422565;-1.000000;
0.046797;0.999976;-0.210006;1.000184;0.976200;0.217718;-0.930112;-0.422565;-1.000000;
0.047163;0.999975;-0.210006;1.000184;0.976201;0.217718;-0.930111;-0.422565;-1.000000;
0.047529;0.999975;-0.210006;1.000184;0.976201;0.217718;-0.930111;-0.422564;-1.000000;
0.048006;0.999974;-0.210005;1.000185;0.976201;0.217717;-0.930110;-0.422563;-1.000000;
0.048006;0.999974;-0.210005;1.000185;0.976201;0.217717;-0.930110;-0.422563;-1.000000;
0.048006;0.999974;-0.210005;1.000185;0.976201;0.217717;-0.930110;-0.422563;-1.000000;
0.048374;0.999974;-0.210005;1.000185;0.976201;0.217717;-0.930110;-0.422563;-1.000000;
0.048741;0.999973;-0.210005;1.000185;0.976201;0.217717;-0.930110;-0.422562;-1.000000;
0.049476;0.999972;-0.210004;1.000185;0.976202;0.217717;-0.930109;-0.422561;-1.000000;
0.050945;0.999971;-0.210003;1.000186;0.976202;0.217717;-0.930108;-0.422559;-1.000000;
0.053884;0.999969;-0.210001;1.000186;0.976203;0.217716;-0.930106;-0.422555;-1.000000;
0.059761;0.999968;-0.209996;1.000188;0.976205;0.217716;-0.930104;-0.422549;-1.000000;
0.071516;0.999969;-0.209991;1.000189;0.976206;0.217716;-0.930105;-0.422543;-1.000000;
0.095025;0.999976;-0.209986;1.000190;0.976207;0.217717;-0.930112;-0.422541;-1.000000;
0.118534;0.999984;-0.209988;1.000189;0.976205;0.217720;-0.930119;-0.422547;-1.000000;
0.142043;0.999990;-0.209991;1.000188;0.976204;0.217721;-0.930125;-0.422554;-1.000000;
0.189062;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422563;-1.000000;
0.198178;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422564;-1.000000;
0.198178;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422564;-1.000000;
0.198700;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422564;-1.000000;
0.199222;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422564;-1.000000;
0.199833;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422564;-1.000000;
0.199833;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422564;-1.000000;
0.199833;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422564;-1.000000;
0.200357;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930131;-0.422564;-1.000000;
0.200881;0.999997;-0.209996;1.000186;0.976201;0.217723;-0.930132;-0.422564;-1.000000;
0.201928;0.999998;-0.209997;1.000186;0.976201;0.217723;-0.930132;-0.422564;-1.000000;
0.204023;0.999998;-0.209997;1.000186;0.976201;0.217723;-0.930132;-0.422565;-1.000000;
0.208212;0.999998;-0.209997;1.000186;0.976201;0.217723;-0.930132;-0.422565;-1.000000;
0.216591;0.999998;-0.209998;1.000186;0.976201;0.217723;-0.930132;-0.422566;-1.000000;
0.233348;0.999998;-0.209998;1.000185;0.976200;0.217723;-0.930132;-0.422567;-1.000000;
0.266863;0.999998;-0.209999;1.000185;0.976200;0.217723;-0.930132;-0.422568;-1.000000;
0.333893;0.999997;-0.210000;1.000185;0.976200;0.217723;-0.930132;-0.422569;-1.000000;
0.467952;0.999998;-0.210000;1.000185;0.976200;0.217724;-0.930132;-0.422569;-1.000000;
