time;WPP4B_WPP_wPPControl2015_qControl_PWPPu;WPP4B_WPP_wPPControl2015_qControl_QWPPu;WPP4B_WPP_wPPControl2015_qControl_UWPPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000001;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000002;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000004;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000008;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000016;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000032;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000064;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000128;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000256;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000512;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.001000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001001;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001002;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001004;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001008;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001016;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001032;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001064;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001128;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001256;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930284;-0.422693;
0.001512;1.000163;-0.210035;1.000164;0.976169;0.217767;-0.930283;-0.422693;
0.002024;1.000161;-0.210035;1.000164;0.976169;0.217767;-0.930282;-0.422693;
0.003048;1.000158;-0.210035;1.000164;0.976170;0.217766;-0.930279;-0.422691;
0.005096;1.000149;-0.210036;1.000165;0.976170;0.217763;-0.930271;-0.422688;
0.007913;1.000131;-0.210037;1.000166;0.976172;0.217759;-0.930254;-0.422679;
0.007914;1.000131;-0.210037;1.000166;0.976172;0.217759;-0.930254;-0.422679;
0.007915;1.000131;-0.210037;1.000166;0.976172;0.217759;-0.930254;-0.422679;
0.007917;1.000131;-0.210037;1.000166;0.976172;0.217759;-0.930254;-0.422679;
0.007921;1.000130;-0.210037;1.000166;0.976172;0.217759;-0.930254;-0.422679;
0.007929;1.000130;-0.210037;1.000166;0.976172;0.217759;-0.930254;-0.422679;
0.007945;1.000130;-0.210037;1.000166;0.976172;0.217759;-0.930254;-0.422679;
0.007977;1.000130;-0.210037;1.000166;0.976172;0.217759;-0.930254;-0.422679;
0.008041;1.000130;-0.210037;1.000166;0.976173;0.217759;-0.930253;-0.422679;
0.008169;1.000129;-0.210037;1.000166;0.976173;0.217758;-0.930253;-0.422678;
0.008425;1.000127;-0.210037;1.000166;0.976173;0.217758;-0.930251;-0.422678;
0.008937;1.000124;-0.210037;1.000166;0.976173;0.217757;-0.930248;-0.422676;
0.009961;1.000117;-0.210037;1.000166;0.976174;0.217755;-0.930242;-0.422673;
0.012009;1.000104;-0.210037;1.000167;0.976175;0.217752;-0.930230;-0.422666;
0.016105;1.000077;-0.210037;1.000169;0.976179;0.217745;-0.930205;-0.422653;
0.020695;1.000051;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020696;1.000051;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020697;1.000051;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020699;1.000051;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020703;1.000051;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020711;1.000051;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020727;1.000051;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020759;1.000050;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020823;1.000050;-0.210037;1.000170;0.976182;0.217738;-0.930181;-0.422640;
0.020951;1.000049;-0.210037;1.000170;0.976182;0.217738;-0.930180;-0.422639;
0.021207;1.000048;-0.210037;1.000170;0.976182;0.217738;-0.930179;-0.422639;
0.021541;1.000046;-0.210037;1.000170;0.976182;0.217737;-0.930177;-0.422638;
0.021542;1.000046;-0.210037;1.000170;0.976182;0.217737;-0.930177;-0.422638;
0.021543;1.000046;-0.210037;1.000170;0.976182;0.217737;-0.930177;-0.422638;
0.021545;1.000046;-0.210037;1.000170;0.976182;0.217737;-0.930177;-0.422638;
0.021549;1.000046;-0.210037;1.000170;0.976182;0.217737;-0.930177;-0.422638;
0.021557;1.000046;-0.210037;1.000170;0.976182;0.217737;-0.930177;-0.422638;
0.021573;1.000046;-0.210037;1.000170;0.976182;0.217737;-0.930177;-0.422638;
0.021605;1.000046;-0.210037;1.000170;0.976182;0.217737;-0.930177;-0.422638;
0.021669;1.000045;-0.210037;1.000170;0.976182;0.217737;-0.930176;-0.422637;
0.021752;1.000045;-0.210037;1.000170;0.976182;0.217737;-0.930176;-0.422637;
0.021753;1.000045;-0.210037;1.000170;0.976182;0.217737;-0.930176;-0.422637;
0.021754;1.000045;-0.210037;1.000170;0.976182;0.217737;-0.930176;-0.422637;
0.021756;1.000045;-0.210037;1.000170;0.976182;0.217737;-0.930176;-0.422637;
0.021760;1.000045;-0.210037;1.000170;0.976182;0.217737;-0.930176;-0.422637;
0.021768;1.000045;-0.210037;1.000170;0.976182;0.217737;-0.930176;-0.422637;
0.021784;1.000045;-0.210037;1.000171;0.976182;0.217737;-0.930176;-0.422637;
0.021816;1.000045;-0.210037;1.000171;0.976182;0.217737;-0.930176;-0.422637;
0.021880;1.000044;-0.210037;1.000171;0.976182;0.217737;-0.930175;-0.422637;
0.022008;1.000044;-0.210037;1.000171;0.976182;0.217736;-0.930175;-0.422637;
0.022264;1.000042;-0.210037;1.000171;0.976183;0.217736;-0.930174;-0.422636;
0.022776;1.000040;-0.210037;1.000171;0.976183;0.217735;-0.930171;-0.422635;
0.023800;1.000035;-0.210037;1.000171;0.976183;0.217734;-0.930167;-0.422632;
0.024457;1.000032;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422631;
0.024458;1.000032;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422631;
0.024459;1.000032;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422631;
0.024461;1.000032;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422631;
0.024465;1.000032;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422631;
0.024473;1.000032;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422631;
0.024489;1.000032;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422631;
0.024521;1.000032;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422631;
0.024585;1.000031;-0.210037;1.000171;0.976184;0.217733;-0.930164;-0.422630;
0.024713;1.000031;-0.210037;1.000171;0.976184;0.217733;-0.930163;-0.422630;
0.024969;1.000030;-0.210037;1.000171;0.976184;0.217733;-0.930162;-0.422630;
0.025379;1.000028;-0.210037;1.000171;0.976184;0.217732;-0.930161;-0.422629;
0.025380;1.000028;-0.210037;1.000171;0.976184;0.217732;-0.930161;-0.422629;
0.025381;1.000028;-0.210037;1.000171;0.976184;0.217732;-0.930161;-0.422629;
0.025382;1.000028;-0.210037;1.000171;0.976184;0.217732;-0.930161;-0.422629;
0.025384;1.000028;-0.210037;1.000171;0.976184;0.217732;-0.930161;-0.422629;
0.025388;1.000028;-0.210037;1.000171;0.976184;0.217732;-0.930161;-0.422629;
0.025396;1.000028;-0.210037;1.000171;0.976184;0.217732;-0.930161;-0.422629;
0.025412;1.000028;-0.210037;1.000172;0.976184;0.217732;-0.930160;-0.422629;
0.025444;1.000028;-0.210037;1.000172;0.976184;0.217732;-0.930160;-0.422629;
0.025508;1.000028;-0.210037;1.000172;0.976184;0.217732;-0.930160;-0.422628;
0.025636;1.000027;-0.210037;1.000172;0.976184;0.217732;-0.930160;-0.422628;
0.025892;1.000026;-0.210037;1.000172;0.976184;0.217732;-0.930159;-0.422628;
0.026404;1.000024;-0.210037;1.000172;0.976185;0.217731;-0.930157;-0.422627;
0.027428;1.000020;-0.210037;1.000172;0.976185;0.217730;-0.930154;-0.422625;
0.029476;1.000014;-0.210038;1.000172;0.976186;0.217729;-0.930148;-0.422622;
0.033572;1.000004;-0.210039;1.000172;0.976187;0.217726;-0.930138;-0.422618;
0.041764;0.999990;-0.210043;1.000172;0.976187;0.217723;-0.930126;-0.422617;
0.058148;0.999978;-0.210060;1.000167;0.976183;0.217720;-0.930116;-0.422631;
0.074532;0.999977;-0.210083;1.000160;0.976175;0.217721;-0.930115;-0.422658;
0.097338;0.999979;-0.210117;1.000150;0.976164;0.217722;-0.930118;-0.422700;
0.097339;0.999979;-0.210117;1.000150;0.976164;0.217722;-0.930118;-0.422700;
0.097340;0.999979;-0.210117;1.000150;0.976164;0.217722;-0.930118;-0.422700;
0.097342;0.999979;-0.210117;1.000150;0.976164;0.217722;-0.930118;-0.422700;
0.097346;0.999979;-0.210117;1.000150;0.976164;0.217722;-0.930118;-0.422700;
0.097354;0.999979;-0.210117;1.000150;0.976164;0.217722;-0.930118;-0.422700;
0.097370;0.999979;-0.210117;1.000150;0.976164;0.217722;-0.930118;-0.422700;
0.097402;0.999979;-0.210117;1.000149;0.976164;0.217722;-0.930118;-0.422700;
0.097466;0.999979;-0.210117;1.000149;0.976164;0.217722;-0.930118;-0.422700;
0.097594;0.999979;-0.210118;1.000149;0.976164;0.217722;-0.930118;-0.422701;
0.097850;0.999979;-0.210118;1.000149;0.976164;0.217722;-0.930118;-0.422701;
0.098183;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098184;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098185;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098187;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098191;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098199;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098215;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098247;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098311;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422702;
0.098395;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422703;
0.098396;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422703;
0.098397;0.999979;-0.210119;1.000149;0.976163;0.217722;-0.930118;-0.422703;
