time;WPP4B_WPP_wPPControl_measurements_PGenNomPu;WPP4B_WPP_wPPControl_measurements_QGenNomPu;WPP4B_WPP_wPPControl_measurements_UPu;WPP4B_WPP_terminal_V_re;WPP4B_WPP_terminal_V_im;WPP4B_WPP_terminal_i_re;WPP4B_WPP_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.013000;1.000111;-0.210037;1.000167;0.976175;0.217754;-0.930237;-0.422670;
0.019044;1.000097;-0.210040;1.000167;0.976175;0.217750;-0.930223;-0.422667;
0.019044;1.000097;-0.210040;1.000167;0.976175;0.217750;-0.930223;-0.422667;
0.021229;1.000090;-0.210041;1.000167;0.976176;0.217749;-0.930217;-0.422665;
0.021229;1.000090;-0.210041;1.000167;0.976176;0.217749;-0.930217;-0.422665;
0.021229;1.000090;-0.210041;1.000167;0.976176;0.217749;-0.930217;-0.422665;
0.034410;1.000051;-0.210048;1.000167;0.976178;0.217739;-0.930182;-0.422654;
0.060772;1.000015;-0.210074;1.000161;0.976174;0.217730;-0.930150;-0.422667;
0.113495;0.999997;-0.210142;1.000141;0.976154;0.217728;-0.930135;-0.422739;
0.122764;0.999997;-0.210152;1.000138;0.976150;0.217728;-0.930135;-0.422751;
0.122764;0.999997;-0.210152;1.000138;0.976150;0.217728;-0.930135;-0.422751;
0.125700;0.999996;-0.210156;1.000136;0.976149;0.217728;-0.930135;-0.422756;
0.125700;0.999996;-0.210156;1.000136;0.976149;0.217728;-0.930135;-0.422756;
0.125700;0.999996;-0.210156;1.000136;0.976149;0.217728;-0.930135;-0.422756;
0.140037;0.999993;-0.210175;1.000131;0.976144;0.217728;-0.930133;-0.422777;
0.168710;0.999991;-0.210211;1.000120;0.976132;0.217728;-0.930131;-0.422818;
0.226057;0.999990;-0.210272;1.000101;0.976112;0.217730;-0.930132;-0.422892;
0.340750;0.999992;-0.210363;1.000072;0.976083;0.217733;-0.930136;-0.423002;
0.570136;0.999996;-0.210464;1.000041;0.976049;0.217738;-0.930143;-0.423126;
0.839485;0.999998;-0.210511;1.000026;0.976034;0.217740;-0.930146;-0.423183;
0.839485;0.999998;-0.210511;1.000026;0.976034;0.217740;-0.930146;-0.423183;
0.861511;0.999998;-0.210517;1.000024;0.976032;0.217740;-0.930147;-0.423190;
0.905562;0.999998;-0.210527;1.000021;0.976028;0.217740;-0.930147;-0.423202;
0.993664;0.999998;-0.210542;1.000016;0.976023;0.217741;-0.930148;-0.423221;
1.169867;0.999999;-0.210562;1.000010;0.976017;0.217742;-0.930149;-0.423245;
1.433618;1.000000;-0.210575;1.000006;0.976012;0.217742;-0.930150;-0.423261;
1.433618;1.000000;-0.210575;1.000006;0.976012;0.217742;-0.930150;-0.423261;
1.433618;1.000000;-0.210575;1.000006;0.976012;0.217742;-0.930150;-0.423261;
1.433618;1.000000;-0.210575;1.000006;0.976012;0.217742;-0.930150;-0.423261;
1.457184;1.000000;-0.210576;1.000006;0.976012;0.217742;-0.930150;-0.423263;
1.466253;1.000000;-0.210577;1.000005;0.976012;0.217742;-0.930150;-0.423263;
1.466253;1.000000;-0.210577;1.000005;0.976012;0.217742;-0.930150;-0.423263;
1.466253;1.000000;-0.210577;1.000005;0.976012;0.217742;-0.930150;-0.423263;
1.489787;1.000000;-0.210578;1.000005;0.976011;0.217742;-0.930150;-0.423265;
1.536855;1.000000;-0.210580;1.000004;0.976011;0.217742;-0.930150;-0.423267;
1.630990;1.000000;-0.210584;1.000003;0.976010;0.217743;-0.930150;-0.423271;
1.819259;1.000000;-0.210588;1.000002;0.976008;0.217743;-0.930151;-0.423276;
2.000000;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930151;-0.423278;
2.000000;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930151;-0.423278;
2.000429;1.000000;-0.210590;1.000001;0.976008;0.217743;-0.930151;-0.423278;
2.001289;0.999998;-0.210590;1.000001;0.976008;0.217742;-0.930149;-0.423278;
2.003008;0.999967;-0.210597;1.000001;0.976009;0.217734;-0.930120;-0.423270;
2.004727;0.999885;-0.210613;1.000001;0.976013;0.217714;-0.930047;-0.423250;
2.008165;0.999400;-0.210701;1.000002;0.976042;0.217592;-0.929606;-0.423112;
2.011603;0.998530;-0.210842;1.000009;0.976098;0.217372;-0.928816;-0.422848;
2.015041;0.997265;-0.211027;1.000025;0.976186;0.217052;-0.927666;-0.422438;
2.018479;0.995628;-0.211241;1.000054;0.976307;0.216636;-0.926177;-0.421880;
2.021918;0.993662;-0.211469;1.000097;0.976462;0.216137;-0.924388;-0.421177;
2.025356;0.991418;-0.211698;1.000155;0.976648;0.215566;-0.922346;-0.420340;
2.032232;0.986167;-0.212110;1.000329;0.977121;0.214225;-0.917561;-0.418244;
2.039108;0.980389;-0.212454;1.000551;0.977671;0.212748;-0.912294;-0.415828;
2.045984;0.974229;-0.212735;1.000810;0.978279;0.211169;-0.906673;-0.413171;
2.059737;0.960870;-0.213171;1.001416;0.979631;0.207742;-0.894479;-0.407288;
2.073489;0.946744;-0.213544;1.002063;0.981054;0.204117;-0.881578;-0.401088;
