time;WT4A_WT_controlMeasurements_PPu;WT4A_WT_controlMeasurements_QPu;WT4A_WT_controlMeasurements_UPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;WT4A_WT_control4A_ipMaxPu;WT4A_WT_control4A_iqMaxPu;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;1.100000;0.330000;
0.000034;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;1.100000;0.330000;
0.001000;1.000161;-0.210037;1.000164;0.976169;0.217767;-0.930282;-0.422695;1.100000;0.330000;
0.025999;1.000072;-0.210092;1.000152;0.976161;0.217745;-0.930202;-0.422716;1.100000;0.330000;
0.075997;1.000017;-0.210102;1.000152;0.976164;0.217732;-0.930153;-0.422701;1.100000;0.330000;
0.175993;1.000003;-0.210095;1.000155;0.976168;0.217728;-0.930139;-0.422685;1.100000;0.330000;
0.375985;1.000001;-0.210078;1.000161;0.976174;0.217727;-0.930137;-0.422664;1.100000;0.330000;
0.516035;1.000001;-0.210068;1.000164;0.976177;0.217726;-0.930136;-0.422652;1.100000;0.330000;
0.540519;1.000001;-0.210066;1.000164;0.976178;0.217726;-0.930136;-0.422650;1.100000;0.330000;
0.589486;1.000000;-0.210062;1.000165;0.976179;0.217726;-0.930136;-0.422645;1.100000;0.330000;
0.687422;1.000000;-0.210055;1.000168;0.976182;0.217726;-0.930136;-0.422636;1.100000;0.330000;
0.883294;1.000000;-0.210042;1.000172;0.976186;0.217725;-0.930135;-0.422621;1.100000;0.330000;
1.275037;1.000000;-0.210026;1.000177;0.976191;0.217725;-0.930135;-0.422601;1.100000;0.330000;
2.000000;1.000000;-0.210012;1.000181;0.976196;0.217724;-0.930134;-0.422584;1.100000;0.330000;
2.000358;0.999998;-0.210012;1.000181;0.976196;0.217724;-0.930132;-0.422584;1.100000;0.330000;
2.001076;0.999968;-0.210019;1.000181;0.976197;0.217716;-0.930106;-0.422577;1.100000;0.330000;
2.002512;0.999719;-0.210071;1.000179;0.976209;0.217654;-0.929879;-0.422515;1.100000;0.330000;
2.003947;0.999216;-0.210169;1.000178;0.976237;0.217527;-0.929423;-0.422381;1.100000;0.330000;
2.006818;0.996981;-0.210523;1.000198;0.976383;0.216962;-0.927392;-0.421691;1.100000;0.330000;
2.009690;0.993477;-0.210980;1.000259;0.976643;0.216074;-0.924205;-0.420498;1.100000;0.330000;
2.012561;0.988766;-0.211480;1.000375;0.977026;0.214875;-0.919917;-0.418768;1.100000;0.330000;
2.015432;0.982964;-0.211976;1.000552;0.977532;0.213396;-0.914632;-0.416513;1.100000;0.330000;
2.018303;0.976211;-0.212436;1.000791;0.978152;0.211671;-0.908476;-0.413774;1.100000;0.330000;
2.021174;0.968652;-0.212844;1.001086;0.978871;0.209736;-0.901581;-0.410614;1.100000;0.330000;
