time;WT4B_WT_measurements_PGenNomPu;WT4B_WT_measurements_QGenNomPu;WT4B_WT_measurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.025000;1.000073;-0.210091;1.000152;0.976161;0.217746;-0.930203;-0.422716;
0.075000;1.000017;-0.210102;1.000152;0.976164;0.217732;-0.930153;-0.422701;
0.175000;1.000002;-0.210094;1.000155;0.976169;0.217728;-0.930139;-0.422685;
0.375000;1.000000;-0.210078;1.000161;0.976174;0.217727;-0.930137;-0.422663;
0.775000;1.000000;-0.210050;1.000169;0.976183;0.217726;-0.930135;-0.422630;
1.575000;1.000000;-0.210022;1.000178;0.976193;0.217725;-0.930134;-0.422596;
2.000000;1.000000;-0.210018;1.000179;0.976194;0.217725;-0.930134;-0.422591;
2.000000;1.000000;-0.210018;1.000179;0.976194;0.217725;-0.930134;-0.422591;
2.006425;0.989957;-0.211130;1.000417;0.977002;0.215171;-0.920994;-0.418935;
2.006425;0.989958;-0.211127;1.000417;0.977003;0.215171;-0.920995;-0.418933;
2.006436;0.989928;-0.211130;1.000417;0.977005;0.215164;-0.920969;-0.418922;
2.006436;0.989928;-0.211130;1.000417;0.977005;0.215164;-0.920969;-0.418922;
2.007156;0.988810;-0.211266;1.000440;0.977091;0.214880;-0.919951;-0.418533;
2.008595;0.985483;-0.211711;1.000492;0.977329;0.214037;-0.916925;-0.417431;
2.009749;0.980389;-0.212375;1.000577;0.977697;0.212745;-0.912291;-0.415732;
2.009749;0.980391;-0.212371;1.000577;0.977698;0.212745;-0.912292;-0.415729;
2.011363;0.974033;-0.213140;1.000697;0.978170;0.211132;-0.906506;-0.413560;
2.014590;0.958028;-0.214581;1.001135;0.979490;0.207055;-0.891922;-0.407619;
2.021045;0.920576;-0.216233;1.002602;0.982963;0.197468;-0.857724;-0.392289;
2.027499;0.881771;-0.216931;1.004294;0.986634;0.187512;-0.822231;-0.376137;
2.033954;0.843844;-0.217207;1.005938;0.990104;0.177779;-0.787498;-0.360778;
2.046863;0.777807;-0.217572;1.008529;0.995619;0.160851;-0.726950;-0.335974;
2.059771;0.722762;-0.217955;1.010379;0.999663;0.146765;-0.676416;-0.317336;
2.072680;0.678005;-0.218315;1.011683;1.002592;0.135326;-0.635287;-0.303499;
2.085589;0.642110;-0.218587;1.012618;1.004728;0.126161;-0.602274;-0.293184;
2.098498;0.613524;-0.218766;1.013300;1.006304;0.118866;-0.575965;-0.285430;
2.111407;0.590835;-0.218876;1.013806;1.007480;0.113079;-0.555072;-0.279552;
2.124316;0.572850;-0.218937;1.014186;1.008366;0.108493;-0.538503;-0.275060;
2.137225;0.558592;-0.218964;1.014476;1.009042;0.104857;-0.525362;-0.271596;
2.150134;0.547273;-0.218966;1.014701;1.009564;0.101972;-0.514928;-0.268902;
2.175952;0.532264;-0.218911;1.015000;1.010244;0.098145;-0.501086;-0.265371;
2.201770;0.522199;-0.218815;1.015209;1.010699;0.095578;-0.491800;-0.263006;
2.227587;0.515385;-0.218309;1.015475;1.011129;0.093826;-0.485497;-0.260957;
2.253405;0.510649;-0.218206;1.015585;1.011351;0.092617;-0.481125;-0.259817;
2.305041;0.505609;-0.218118;1.015691;1.011577;0.091331;-0.476471;-0.258640;
2.356676;0.502984;-0.217776;1.015832;1.011779;0.090652;-0.474038;-0.257712;
2.408312;0.501694;-0.217378;1.015968;1.011946;0.090311;-0.472835;-0.257010;
2.511583;0.501019;-0.216558;1.016215;1.012212;0.090114;-0.472185;-0.255983;
2.614855;0.500896;-0.215687;1.016468;1.012471;0.090056;-0.472043;-0.255017;
2.821397;0.500860;-0.214411;1.016836;1.012845;0.090008;-0.471969;-0.253634;
3.234483;0.500826;-0.212628;1.017350;1.013366;0.089945;-0.471879;-0.251707;
4.060653;0.500789;-0.211057;1.017802;1.013825;0.089888;-0.471794;-0.250009;
4.886824;0.500760;-0.210386;1.017995;1.014021;0.089860;-0.471745;-0.249282;
5.999999;0.500726;-0.210189;1.018052;1.014080;0.089846;-0.471707;-0.249063;
5.999999;0.368229;-0.135137;0.735332;0.728733;0.098289;-0.471707;-0.249063;
6.000103;0.368147;-0.135277;0.735282;0.728686;0.098267;-0.471608;-0.249244;
6.000311;0.368046;-0.135431;0.735228;0.728635;0.098240;-0.471486;-0.249438;
6.000518;0.368006;-0.135464;0.735217;0.728625;0.098228;-0.471436;-0.249473;
6.000797;0.368106;-0.135210;0.735309;0.728715;0.098251;-0.471555;-0.249125;
6.000797;0.368106;-0.135210;0.735309;0.728715;0.098251;-0.471554;-0.249125;
6.000798;0.368106;-0.135209;0.735309;0.728716;0.098251;-0.471555;-0.249123;
6.000798;0.368106;-0.135209;0.735309;0.728716;0.098251;-0.471555;-0.249123;
6.000798;0.368106;-0.135209;0.735309;0.728716;0.098251;-0.471555;-0.249123;
6.000798;0.368106;-0.135209;0.735309;0.728716;0.098251;-0.471555;-0.249123;
6.001107;0.368198;-0.134816;0.735454;0.728860;0.098267;-0.471658;-0.248559;
