time;WT4B_WT_measurementsPQ_PPu;WT4B_WT_measurementsPQ_QPu;WT4B_WT_control4B_UWTPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
0.000000;1.000164;-0.210035;1.000164;0.976169;0.217767;-0.930285;-0.422694;
0.001000;1.000161;-0.210036;1.000164;0.976169;0.217767;-0.930282;-0.422694;
0.001000;1.000161;-0.210036;1.000164;0.976169;0.217767;-0.930282;-0.422694;
0.016049;1.000108;-0.210061;1.000159;0.976167;0.217754;-0.930234;-0.422697;
0.016049;1.000108;-0.210061;1.000159;0.976167;0.217754;-0.930234;-0.422697;
0.041033;1.000046;-0.210088;1.000155;0.976166;0.217739;-0.930178;-0.422699;
0.091000;1.000010;-0.210098;1.000154;0.976166;0.217730;-0.930146;-0.422693;
0.190936;1.000001;-0.210093;1.000156;0.976169;0.217727;-0.930138;-0.422683;
0.390808;1.000000;-0.210077;1.000161;0.976175;0.217727;-0.930136;-0.422662;
0.519334;1.000000;-0.210068;1.000164;0.976177;0.217726;-0.930136;-0.422652;
0.519334;1.000000;-0.210068;1.000164;0.976177;0.217726;-0.930136;-0.422652;
0.543815;1.000000;-0.210066;1.000164;0.976178;0.217726;-0.930136;-0.422649;
0.592776;1.000000;-0.210062;1.000165;0.976179;0.217726;-0.930136;-0.422645;
0.690699;1.000000;-0.210055;1.000168;0.976182;0.217726;-0.930136;-0.422636;
0.886544;1.000000;-0.210043;1.000172;0.976186;0.217725;-0.930135;-0.422621;
1.278235;1.000000;-0.210026;1.000177;0.976191;0.217725;-0.930135;-0.422601;
2.000000;1.000000;-0.210012;1.000181;0.976196;0.217724;-0.930134;-0.422584;
2.000000;1.000000;-0.210012;1.000181;0.976196;0.217724;-0.930134;-0.422584;
2.001549;0.997894;-0.210377;1.000190;0.976324;0.217193;-0.928222;-0.421971;
2.004647;0.987923;-0.211538;1.000406;0.977105;0.214660;-0.919148;-0.418422;
2.007746;0.974067;-0.212687;1.000841;0.978325;0.211126;-0.906525;-0.412991;
2.013942;0.939088;-0.214267;1.002246;0.981644;0.202169;-0.874598;-0.398397;
2.020139;0.901542;-0.215256;1.003863;0.985234;0.192541;-0.840282;-0.382631;
2.026336;0.864009;-0.215890;1.005433;0.988653;0.182916;-0.805933;-0.367488;
