time;Converter250_control_omegaPu;Converter250_converter_IConvPu;Converter500_control_omegaPu;Converter500_converter_IConvPu;Converter1000_control_omegaPu;Converter1000_converter_IConvPu;
0.0000;1.0000;0.6154;1.0000;0.5958;1.0000;0.6301;
0.0000;1.0000;0.6154;1.0000;0.5958;1.0000;0.6301;
0.0000;1.0000;0.6154;1.0000;0.5957;1.0000;0.6301;
0.0000;1.0000;0.6153;1.0000;0.5956;1.0000;0.6302;
0.0000;1.0000;0.6153;1.0000;0.5956;1.0000;0.6302;
0.0001;1.0000;0.6153;1.0000;0.5955;1.0000;0.6304;
0.0001;1.0000;0.6155;1.0000;0.5954;1.0000;0.6306;
0.0001;1.0000;0.6156;1.0000;0.5953;1.0000;0.6308;
0.0002;1.0000;0.6159;1.0000;0.5953;1.0000;0.6311;
0.0002;1.0000;0.6162;1.0000;0.5952;1.0000;0.6314;
0.0002;1.0000;0.6165;1.0000;0.5951;1.0000;0.6317;
0.0003;1.0000;0.6169;1.0000;0.5949;1.0000;0.6321;
0.0003;1.0000;0.6174;1.0000;0.5948;1.0000;0.6325;
0.0003;1.0000;0.6178;1.0000;0.5946;1.0000;0.6329;
0.0004;1.0000;0.6183;1.0000;0.5944;1.0000;0.6333;
0.0004;1.0000;0.6189;1.0000;0.5941;1.0000;0.6337;
0.0005;1.0000;0.6200;1.0000;0.5935;1.0000;0.6347;
0.0005;1.0000;0.6210;1.0000;0.5929;0.9999;0.6355;
0.0006;1.0000;0.6221;1.0000;0.5922;0.9999;0.6363;
0.0006;1.0000;0.6232;1.0000;0.5915;0.9999;0.6371;
0.0007;1.0000;0.6242;1.0000;0.5908;0.9999;0.6379;
0.0007;1.0000;0.6252;1.0000;0.5901;0.9999;0.6387;
0.0008;1.0000;0.6261;1.0000;0.5894;0.9999;0.6393;
0.0008;1.0000;0.6269;1.0000;0.5887;0.9999;0.6400;
0.0009;1.0000;0.6277;1.0000;0.5881;0.9999;0.6406;
0.0010;1.0000;0.6284;1.0000;0.5876;0.9999;0.6411;
0.0010;1.0000;0.6290;1.0000;0.5872;0.9999;0.6416;
0.0011;1.0000;0.6295;1.0000;0.5869;0.9999;0.6420;
0.0011;1.0000;0.6299;1.0000;0.5866;0.9999;0.6423;
0.0012;1.0000;0.6303;1.0000;0.5865;0.9999;0.6426;
0.0012;1.0000;0.6305;1.0000;0.5864;0.9999;0.6428;
0.0013;1.0000;0.6307;1.0000;0.5864;0.9999;0.6430;
0.0013;1.0000;0.6309;1.0000;0.5865;0.9999;0.6432;
0.0014;1.0000;0.6310;1.0000;0.5867;0.9999;0.6433;
0.0015;1.0000;0.6310;1.0000;0.5871;0.9998;0.6434;
0.0016;1.0000;0.6310;1.0000;0.5876;0.9998;0.6434;
0.0017;1.0000;0.6311;1.0000;0.5880;0.9998;0.6435;
0.0018;1.0000;0.6311;1.0000;0.5883;0.9998;0.6436;
0.0019;1.0000;0.6312;1.0000;0.5885;0.9998;0.6437;
0.0020;1.0000;0.6314;1.0000;0.5885;0.9998;0.6439;
