time;IBG_ibg_injector_PInjPuSn;IBG_ibg_injector_QInjPuSn;IBG_ibg_currentLimitsCalculation1_ipCmdPu;IBG_ibg_currentLimitsCalculation1_ipMaxPu;IBG_ibg_currentLimitsCalculation1_ipMinPu;IBG_ibg_currentLimitsCalculation1_iqCmdPu;IBG_ibg_currentLimitsCalculation1_iqMaxPu;IBG_ibg_currentLimitsCalculation1_iqMinPu;
0.000000;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000001;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000002;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000004;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000008;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000016;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000032;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000064;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000128;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000256;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.000512;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.001024;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.002048;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.004096;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.008192;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.016384;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.032768;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.065536;0.466667;0.133333;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.131072;0.466667;0.133333;0.466666;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.262144;0.466667;0.133333;0.466666;1.091889;0.000000;0.133333;1.100000;-1.100000;
0.524288;0.466667;0.133333;0.466666;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000000;0.466667;0.133333;0.466666;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000000;0.280000;0.080000;0.466666;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000001;0.280000;0.080000;0.466666;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000002;0.280000;0.080000;0.466666;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000004;0.280000;0.080000;0.466666;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000008;0.280000;0.080000;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000016;0.280001;0.080000;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000032;0.280003;0.080000;0.466667;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000064;0.280011;0.080000;0.466668;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000128;0.280044;0.080000;0.466674;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000256;0.280166;0.080000;0.466697;1.091889;0.000000;0.133333;1.100000;-1.100000;
1.000512;0.280478;0.080000;0.466786;1.091889;0.000000;0.133334;1.100000;-1.100000;
1.000768;0.280860;0.080001;0.466958;1.091889;0.000000;0.133335;1.100000;-1.100000;
1.001024;0.281243;0.080001;0.467185;1.091889;0.000000;0.133336;1.100000;-1.100000;
1.001536;0.282011;0.080004;0.467848;1.091888;0.000000;0.133345;1.100000;-1.100000;
1.002048;0.282779;0.080008;0.468705;1.091886;0.000000;0.133359;1.100000;-1.100000;
1.002560;0.283547;0.080015;0.469743;1.091884;0.000000;0.133380;1.100000;-1.100000;
1.003584;0.285083;0.080035;0.472219;1.091876;0.000000;0.133443;1.100000;-1.100000;
1.004608;0.286619;0.080066;0.475289;1.091864;0.000000;0.133539;1.100000;-1.100000;
1.005632;0.288155;0.080112;0.478931;1.091847;0.000000;0.133678;1.100000;-1.100000;
1.005779;0.288376;0.080120;0.479491;1.091844;0.000000;0.133702;1.100000;-1.100000;
1.005780;0.288377;0.080120;0.479495;1.091844;0.000000;0.133702;1.100000;-1.100000;
1.005781;0.288379;0.080120;0.479499;1.091844;0.000000;0.133702;1.100000;-1.100000;
1.005783;0.288382;0.080120;0.479507;1.091844;0.000000;0.133703;1.100000;-1.100000;
1.005787;0.288388;0.080120;0.479523;1.091844;0.000000;0.133704;1.100000;-1.100000;
1.005795;0.288400;0.080121;0.479554;1.091844;0.000000;0.133705;1.100000;-1.100000;
1.005811;0.288424;0.080122;0.479617;1.091843;0.000000;0.133709;1.100000;-1.100000;
1.005843;0.288472;0.080125;0.479742;1.091842;0.000000;0.133720;1.100000;-1.100000;
1.005907;0.288568;0.080136;0.479995;1.091838;0.000000;0.133754;1.100000;-1.100000;
1.006035;0.288760;0.080171;0.480506;1.091824;0.000000;0.133867;1.100000;-1.100000;
1.006291;0.289144;0.080294;0.481550;1.091775;0.000000;0.134270;1.100000;-1.100000;
1.006803;0.289912;0.080751;0.483724;1.091592;0.000000;0.135748;1.100000;-1.100000;
1.007315;0.290680;0.081478;0.486005;1.091299;0.000000;0.138077;1.100000;-1.100000;
1.007827;0.291448;0.082461;0.488388;1.090900;0.000000;0.141197;1.100000;-1.100000;
1.008339;0.292216;0.083689;0.490864;1.090394;0.000000;0.145048;1.100000;-1.100000;
1.008851;0.292984;0.085149;0.493428;1.089783;0.000000;0.149572;1.100000;-1.100000;
1.009363;0.293752;0.086829;0.496073;1.089064;0.000000;0.154716;1.100000;-1.100000;
1.009875;0.294520;0.088718;0.498792;1.088237;0.000000;0.160430;1.100000;-1.100000;
1.010387;0.295288;0.090803;0.501581;1.087299;0.000000;0.166665;1.100000;-1.100000;
1.010899;0.296056;0.093075;0.504432;1.086249;0.000000;0.173376;1.100000;-1.100000;
1.011411;0.296824;0.095523;0.507341;1.085084;0.000000;0.180521;1.100000;-1.100000;
1.011923;0.297592;0.098137;0.510303;1.083803;0.000000;0.188060;1.100000;-1.100000;
1.012435;0.298360;0.100908;0.513313;1.082403;0.000000;0.195957;1.100000;-1.100000;
1.012947;0.299128;0.103827;0.516365;1.080883;0.000000;0.204176;1.100000;-1.100000;
1.013459;0.299896;0.106884;0.519456;1.079241;0.000000;0.212684;1.100000;-1.100000;
1.013886;0.300537;0.109537;0.522063;1.077775;0.000000;0.219988;1.100000;-1.100000;
1.013886;0.300537;0.109537;0.522063;1.077778;0.000000;0.219988;1.100000;-1.100000;
1.013886;0.300537;0.109537;0.522063;1.077778;0.000000;0.219989;1.100000;-1.100000;
1.013887;0.300539;0.109543;0.522070;1.077774;0.000000;0.220006;1.100000;-1.100000;
1.013888;0.300540;0.109550;0.522076;1.077771;0.000000;0.220023;1.100000;-1.100000;
1.013890;0.300543;0.109562;0.522088;1.077764;0.000000;0.220058;1.100000;-1.100000;
1.013894;0.300549;0.109587;0.522113;1.077750;0.000000;0.220127;1.100000;-1.100000;
1.013902;0.300561;0.109638;0.522162;1.077721;0.000000;0.220266;1.100000;-1.100000;
1.013918;0.300585;0.109739;0.522260;1.077665;0.000000;0.220543;1.100000;-1.100000;
1.013950;0.300633;0.109942;0.522456;1.077551;0.000000;0.221098;1.100000;-1.100000;
1.014014;0.300729;0.110349;0.522849;1.077322;0.000000;0.222210;1.100000;-1.100000;
1.014142;0.300921;0.111168;0.523636;1.076858;0.000000;0.224446;1.100000;-1.100000;
1.014398;0.301305;0.112824;0.525215;1.075908;0.000000;0.228958;1.100000;-1.100000;
1.014654;0.301689;0.114503;0.526801;1.074927;0.000000;0.233520;1.100000;-1.100000;
1.014910;0.302073;0.116201;0.528393;1.073915;0.000000;0.238131;1.100000;-1.100000;
1.015166;0.302457;0.117916;0.529991;1.072872;0.000000;0.242787;1.100000;-1.100000;
1.015678;0.303225;0.121386;0.533201;1.070694;0.000000;0.252219;1.100000;-1.100000;
1.016190;0.303993;0.124899;0.536429;1.068393;0.000000;0.261795;1.100000;-1.100000;
1.016702;0.304761;0.128443;0.539672;1.065969;0.000000;0.271495;1.100000;-1.100000;
