time;NETWORK__BUS____1_TN_Upu_value;NETWORK__BUS____2_TN_Upu_value;NETWORK__BUS____3_TN_Upu_value;NETWORK__BUS____4_TN_Upu_value;NETWORK__BUS____5_TN_Upu_value;NETWORK__BUS____6_TN_Upu_value;NETWORK__BUS____7_TN_Upu_value;NETWORK__BUS____8_TN_Upu_value;NETWORK__BUS____9_TN_Upu_value;NETWORK__BUS___10_TN_Upu_value;NETWORK__BUS___11_TN_Upu_value;NETWORK__BUS___12_TN_Upu_value;NETWORK__BUS___13_TN_Upu_value;NETWORK__BUS___14_TN_Upu_value;GEN____1_SM_generator_omegaPu;GEN____2_SM_generator_omegaPu;GEN____3_SM_generator_omegaPu;GEN____6_SM_generator_omegaPu;GEN____8_SM_generator_omegaPu;GEN____1_SM_generator_PGen;GEN____2_SM_generator_PGen;GEN____3_SM_generator_PGen;GEN____6_SM_generator_PGen;GEN____8_SM_generator_PGen;GEN____1_SM_generator_QGen;GEN____2_SM_generator_QGen;GEN____3_SM_generator_QGen;GEN____6_SM_generator_QGen;GEN____8_SM_generator_QGen;GEN____3_SM_generator_running;_LOAD___2_EC_load_PPu;_LOAD___2_EC_load_QPu;_LOAD___3_EC_load_PPu;_LOAD___3_EC_load_QPu;UVA_underVoltageAutomaton_UMinPu;
0.000000;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378767;40.081550;-0.077572;0.003426;-0.005655;-16.575219;43.549504;25.078192;12.805769;17.570614;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000001;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378765;40.081551;-0.077573;0.003431;-0.005655;-16.575222;43.549501;25.078190;12.805778;17.570612;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000002;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378766;40.081550;-0.077573;0.003431;-0.005655;-16.575222;43.549501;25.078190;12.805778;17.570613;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000004;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378766;40.081550;-0.077573;0.003430;-0.005655;-16.575221;43.549501;25.078190;12.805776;17.570613;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000008;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378766;40.081549;-0.077572;0.003430;-0.005655;-16.575221;43.549502;25.078190;12.805775;17.570613;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000016;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378767;40.081546;-0.077571;0.003430;-0.005655;-16.575220;43.549503;25.078190;12.805772;17.570614;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000032;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055335;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378769;40.081542;-0.077568;0.003428;-0.005655;-16.575219;43.549506;25.078191;12.805764;17.570616;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000064;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055334;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378772;40.081532;-0.077563;0.003426;-0.005654;-16.575215;43.549511;25.078193;12.805750;17.570619;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000128;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055334;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378780;40.081513;-0.077553;0.003420;-0.005653;-16.575209;43.549521;25.078195;12.805721;17.570625;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000256;1.060009;1.045019;1.009998;1.017699;1.019551;1.070151;1.061528;1.089925;1.055980;1.051051;1.057014;1.055334;1.050526;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378794;40.081476;-0.077533;0.003410;-0.005651;-16.575195;43.549541;25.078200;12.805664;17.570638;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.000512;1.060009;1.045018;1.009998;1.017699;1.019551;1.070150;1.061528;1.089925;1.055980;1.051050;1.057013;1.055334;1.050525;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378822;40.081400;-0.077493;0.003388;-0.005648;-16.575168;43.549582;25.078211;12.805550;17.570664;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.001024;1.060009;1.045018;1.009998;1.017698;1.019551;1.070150;1.061527;1.089925;1.055980;1.051050;1.057013;1.055334;1.050525;1.035656;1.000000;1.000000;1.000000;1.000000;1.000000;232.378878;40.081250;-0.077412;0.003347;-0.005640;-16.575116;43.549662;25.078231;12.805324;17.570715;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.002048;1.060009;1.045018;1.009998;1.017698;1.019551;1.070149;1.061527;1.089925;1.055980;1.051050;1.057012;1.055333;1.050524;1.035655;1.000000;1.000000;1.000000;1.000000;1.000000;232.378989;40.080950;-0.077250;0.003267;-0.005624;-16.575013;43.549820;25.078270;12.804881;17.570815;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.004096;1.060009;1.045018;1.009998;1.017698;1.019550;1.070147;1.061527;1.089925;1.055979;1.051049;1.057011;1.055331;1.050523;1.035654;1.000000;1.000000;1.000000;1.000000;1.000000;232.379204;40.080353;-0.076927;0.003116;-0.005593;-16.574817;43.550121;25.078339;12.804034;17.571007;1.000000;0.216983;0.126984;0.941997;0.189999;0.850000;
0.008192;1.060009;1.045018;1.009998;1.017697;1.019550;1.070145;1.061526;1.089924;1.055978;1.051048;1.057009;1.055329;1.050520;1.035653;1.000000;1.000000;1.000000;1.000000;1.000000;232.379613;40.079170;-0.076279;0.002850;-0.005529;-16.574458;43.550676;25.078448;12.802477;17.571365;1.000000;0.216983;0.126983;0.941997;0.189999;0.850000;
0.016384;1.060009;1.045018;1.009998;1.017697;1.019549;1.070140;1.061525;1.089924;1.055976;1.051045;1.057005;1.055324;1.050516;1.035650;1.000000;1.000000;1.000000;1.000000;1.000000;232.380348;40.076836;-0.074967;0.002435;-0.005396;-16.573859;43.551622;25.078561;12.799826;17.571985;1.000000;0.216983;0.126983;0.941997;0.189999;0.850000;
0.032768;1.060008;1.045017;1.009998;1.017695;1.019547;1.070133;1.061523;1.089924;1.055973;1.051042;1.057000;1.055317;1.050510;1.035645;1.000000;1.000000;1.000000;1.000000;1.000000;232.381533;40.072229;-0.072215;0.001913;-0.005084;-16.573005;43.553034;25.078458;12.795896;17.572939;1.000000;0.216983;0.126983;0.941997;0.189999;0.850000;
0.065536;1.060008;1.045016;1.009998;1.017694;1.019545;1.070124;1.061522;1.089924;1.055970;1.051038;1.056994;1.055310;1.050502;1.035641;1.000000;0.999999;1.000000;1.000000;1.000000;232.382935;40.062931;-0.065950;0.001483;-0.004230;-16.572095;43.554738;25.077350;12.791207;17.574152;1.000000;0.216983;0.126983;0.941997;0.189999;0.850000;
0.131072;1.060008;1.045016;1.009999;1.017694;1.019544;1.070118;1.061521;1.089926;1.055969;1.051035;1.056990;1.055303;1.050496;1.035637;0.999999;0.999999;1.000000;1.000000;1.000000;232.382286;40.043318;-0.049933;0.001424;-0.001669;-16.571486;43.556204;25.072965;12.786831;17.575310;1.000000;0.216982;0.126983;0.941999;0.190000;0.850000;
0.262144;1.060007;1.045016;1.010004;1.017697;1.019547;1.070115;1.061524;1.089929;1.055971;1.051037;1.056989;1.055301;1.050495;1.035638;0.999999;0.999999;1.000000;0.999999;1.000000;232.363364;40.007504;-0.005220;0.001980;0.004039;-16.570782;43.555073;25.058782;12.783822;17.575558;1.000000;0.216982;0.126983;0.942006;0.190002;0.850000;
0.524288;1.060006;1.045017;1.010011;1.017699;1.019548;1.070108;1.061526;1.089932;1.055971;1.051036;1.056986;1.055295;1.050489;1.035635;0.999998;0.999998;1.000000;0.999999;0.999999;232.325358;39.975464;0.056756;0.001987;0.006108;-16.568443;43.552231;25.039858;12.777955;17.576651;1.000000;0.216983;0.126983;0.942016;0.190005;0.850000;
1.048576;1.060004;1.045015;1.010012;1.017696;1.019545;1.070095;1.061524;1.089936;1.055967;1.051030;1.056976;1.055283;1.050477;1.035628;0.999997;0.999998;0.999998;0.999998;0.999998;232.315106;39.975675;0.067468;0.001603;0.003482;-16.567600;43.552585;25.038699;12.770439;17.580064;1.000000;0.216982;0.126983;0.942017;0.190006;0.850000;
2.097152;1.060001;1.045012;1.010009;1.017692;1.019539;1.070080;1.061522;1.089942;1.055961;1.051023;1.056965;1.055268;1.050464;1.035619;0.999995;0.999995;0.999995;0.999995;0.999995;232.327089;39.986665;0.045136;0.001694;0.002948;-16.567354;43.554007;25.048272;12.762197;17.585006;1.000000;0.216981;0.126982;0.942012;0.190004;0.850000;
