time;Load2_load_PPu;Load2_load_QPu;Bus1_bus_U;
0.0000000000;0.0401021804;0.0050255451;1.9708217730;
2.5000000000;0.0400787740;0.0050197123;1.9697551909;
5.0000000000;0.0400705419;0.0050176517;1.9690835174;
7.5000000000;0.0400708913;0.0050177598;1.9692700515;
8.7500000000;0.0400720301;0.0050180239;1.9691699827;
10.0000000000;0.0400720504;0.0050180288;1.9692420369;
10.0000000000;0.0415178726;0.0053866677;2.0403473087;
10.3125000000;0.0410041345;0.0052542028;2.0151092358;
10.6250000000;0.0411011927;0.0052788146;2.0197925216;
10.7812500000;0.0411308595;0.0052867086;2.0213588621;
10.9375000000;0.0411323381;0.0052870797;2.0214053997;
11.0937500000;0.0411133654;0.0052811554;2.0204891015;
11.2500000000;0.0410718078;0.0052714185;2.0184320446;
11.3281250000;0.0410486217;0.0052655902;2.0173605873;
11.4062500000;0.0410230726;0.0052590401;2.0158846400;
11.4843750000;0.0409962609;0.0052521679;2.0147651628;
11.5625000000;0.0409676380;0.0052448379;2.0133455829;
11.6406250000;0.0409379781;0.0052372486;2.0118210766;
11.7187500000;0.0409077693;0.0052295174;2.0103646951;
11.8750000000;0.0408571217;0.0052134426;2.0079954164;
11.9531250000;0.0408165114;0.0052062028;2.0058824516;
12.0312500000;0.0407861669;0.0051984446;2.0043933765;
12.1093750000;0.0407575375;0.0051910946;2.0029891507;
12.1875000000;0.0407304858;0.0051840707;2.0016619382;
12.2656250000;0.0407053282;0.0051773612;2.0004251224;
12.3437500000;0.0406827594;0.0051709762;1.9993109884;
12.4218750000;0.0406639398;0.0051649353;1.9983819098;
12.5000000000;0.0406506544;0.0051592823;1.9977592935;
12.5781250000;0.0406064272;0.0051531987;1.9955152402;
12.6562500000;0.0405799214;0.0051471733;1.9940983184;
12.7343750000;0.0405675445;0.0051424863;1.9936732895;
12.8125000000;0.0405540176;0.0051382623;1.9930895964;
12.8906250000;0.0405339137;0.0051347012;1.9919955622;
12.9687500000;0.0405207544;0.0051315194;1.9914868905;
13.0078125000;0.0405136859;0.0051292466;1.9908289258;
13.0468750000;0.0405068570;0.0051275172;1.9907010745;
13.0859375000;0.0405004146;0.0051258865;1.9903850946;
13.1250000000;0.0404944051;0.0051243654;1.9900893056;
13.1640625000;0.0404887639;0.0051229379;1.9898105362;
13.2031250000;0.0404834507;0.0051215935;1.9895465376;
13.2421875000;0.0404784403;0.0051203259;1.9892957753;
13.2812500000;0.0404737157;0.0051191308;1.9890570663;
13.3203125000;0.0404692639;0.0051180048;1.9888293857;
13.3593750000;0.0404650745;0.0051169453;1.9886117626;
13.3984375000;0.0404611377;0.0051159498;1.9884032229;
13.4375000000;0.0404574447;0.0051150161;1.9882027568;
13.4765625000;0.0404539869;0.0051141420;1.9880092980;
13.5156250000;0.0404507556;0.0051133252;1.9878217111;
13.5546875000;0.0404477425;0.0051125637;1.9876387807;
13.5937500000;0.0404449498;0.0051118561;1.9876198629;
13.6718750000;0.0404506403;0.0051107293;1.9881050243;
13.7109375000;0.0404372851;0.0051099187;1.9872433114;
13.7890625000;0.0404349512;0.0051085808;1.9871528203;
13.8281250000;0.0404294223;0.0051079314;1.9868571130;
13.9062500000;0.0404340160;0.0051073414;1.9871644475;
13.9453125000;0.0404253476;0.0051069010;1.9866571964;
14.0234375000;0.0404247513;0.0051061054;1.9866537340;
14.0625000000;0.0404211218;0.0051058315;1.9864500106;
14.1406250000;0.0404252644;0.0051053759;1.9867420023;
14.1796875000;0.0404194423;0.0051054031;1.9863681480;
14.2578125000;0.0404197598;0.0051048559;1.9864144715;
14.2968750000;0.0404174579;0.0051048934;1.9862714997;
14.3750000000;0.0404209897;0.0051044609;1.9865580482;
14.4140625000;0.0404175073;0.0051048899;1.9862749579;
14.4921875000;0.0404184106;0.0051045824;1.9863983903;
14.5312500000;0.0404171805;0.0051047775;1.9862599392;
14.5703125000;0.0404169199;0.0051046972;1.9862474348;
14.6093750000;0.0404169654;0.0051046915;1.9862499555;
14.6484375000;0.0404172006;0.0051047303;1.9862617539;
14.6875000000;0.0404175621;0.0051047970;1.9862796921;
14.7265625000;0.0404180151;0.0051048822;1.9863020567;
14.7656250000;0.0404185412;0.0051049806;1.9863279176;
14.8046875000;0.0404191305;0.0051050888;1.9863567858;
14.8437500000;0.0404197787;0.0051052048;1.9863884307;
14.8828125000;0.0404204845;0.0051053274;1.9864227822;
14.9218750000;0.0404212489;0.0051054555;1.9864598794;
14.9609375000;0.0404220742;0.0051055886;1.9864998452;
15.0000000000;0.0404229641;0.0051057263;1.9865428733;
15.0390625000;0.0404239234;0.0051058683;1.9865892252;
15.0781250000;0.0404249578;0.0051060143;1.9866392307;
15.1171875000;0.0404260744;0.0051061645;1.9866932922;
15.1562500000;0.0404272808;0.0051063189;1.9867518916;
15.1953125000;0.0404285860;0.0051064776;1.9868155988;
15.2343750000;0.0404299999;0.0051066411;1.9868850819;
15.2734375000;0.0404315338;0.0051068099;1.9869611197;
15.3125000000;0.0404331999;0.0051069847;1.9870446159;
15.3515625000;0.0404350118;0.0051071663;1.9871366149;
