time;SM_generator_IRotorPu;SM_generator_IStatorPu;SM_generator_omegaPu;SM_generator_PGenPu;SM_generator_QGenPu;SM_generator_theta;SM_generator_UPu;SM_generator_efdPu;SM_generator_PmPu;
0.000000;2.678816;4.309139;1.000000;3.999998;2.000029;0.781862;1.037829;2.678810;0.892857;
0.015000;2.678817;4.309139;1.000000;3.999999;2.000027;0.781862;1.037829;2.678817;0.892857;
0.030000;2.678818;4.309139;1.000000;4.000000;2.000025;0.781862;1.037828;2.678824;0.892857;
0.060000;2.678819;4.309140;1.000000;4.000002;2.000023;0.781862;1.037828;2.678837;0.892857;
0.120000;2.678822;4.309143;1.000000;4.000006;2.000023;0.781862;1.037828;2.678859;0.892857;
0.240000;2.678828;4.309150;1.000000;4.000010;2.000032;0.781861;1.037829;2.678890;0.892857;
0.480000;2.678837;4.309156;1.000000;4.000007;2.000056;0.781859;1.037829;2.678910;0.892857;
0.960000;2.678842;4.309156;1.000000;3.999995;2.000085;0.781854;1.037830;2.678879;0.892857;
1.000000;2.678842;4.309156;1.000000;3.999995;2.000085;0.781854;1.037830;2.678878;0.892857;
1.000000;5.833720;22.210440;1.000000;-0.000000;3.329800;0.781854;0.149920;2.363764;0.892857;
1.000000;5.833720;22.210438;1.000000;-0.000000;3.329799;0.781854;0.149920;2.363763;0.892857;
1.000000;5.833721;22.210435;1.000000;-0.000000;3.329798;0.781854;0.149920;2.363763;0.892857;
1.000000;5.833722;22.210429;1.000000;-0.000000;3.329796;0.781854;0.149920;2.363763;0.892857;
1.000000;5.833724;22.210418;1.000000;0.000000;3.329793;0.781854;0.149920;2.363762;0.892857;
1.000000;5.833729;22.210395;1.000000;-0.000000;3.329786;0.781854;0.149920;2.363761;0.892857;
1.000000;5.833737;22.210350;1.000000;0.000000;3.329773;0.781854;0.149920;2.363758;0.892857;
1.000001;5.833755;22.210260;1.000000;-0.000000;3.329746;0.781854;0.149919;2.363752;0.892857;
1.000002;5.833789;22.210079;1.000000;-0.000000;3.329691;0.781854;0.149918;2.363740;0.892857;
1.000002;5.833807;22.209988;1.000000;0.000000;3.329664;0.781854;0.149917;2.363735;0.892857;
1.000002;5.833807;22.209988;1.000000;-0.000000;3.329664;0.781854;0.149917;2.363735;0.892857;
1.000002;5.833808;22.209985;1.000000;-0.000000;3.329663;0.781854;0.149917;2.363734;0.892857;
1.000002;5.833808;22.209982;1.000000;-0.000000;3.329662;0.781854;0.149917;2.363734;0.892857;
1.000002;5.833809;22.209975;1.000000;-0.000000;3.329660;0.781854;0.149917;2.363734;0.892857;
1.000002;5.833812;22.209962;1.000000;-0.000000;3.329656;0.781854;0.149917;2.363733;0.892857;
1.000002;5.833817;22.209937;1.000000;0.000000;3.329649;0.781854;0.149917;2.363731;0.892857;
1.000002;5.833827;22.209885;1.000000;0.000000;3.329633;0.781854;0.149917;2.363728;0.892857;
1.000003;5.833846;22.209782;1.000000;-0.000000;3.329602;0.781854;0.149916;2.363721;0.892857;
1.000004;5.833886;22.209577;1.000000;0.000000;3.329541;0.781854;0.149915;2.363708;0.892857;
1.000005;5.833926;22.209371;1.000000;0.000000;3.329479;0.781854;0.149913;2.363695;0.892857;
1.000006;5.833965;22.209165;1.000000;0.000000;3.329417;0.781854;0.149912;2.363682;0.892857;
1.000007;5.834005;22.208960;1.000000;-0.000000;3.329356;0.781854;0.149910;2.363669;0.892857;
1.000008;5.834044;22.208754;1.000001;-0.000000;3.329294;0.781854;0.149909;2.363656;0.892857;
1.000009;5.834084;22.208548;1.000001;0.000000;3.329232;0.781854;0.149908;2.363643;0.892857;
1.000010;5.834123;22.208343;1.000001;0.000000;3.329171;0.781854;0.149906;2.363629;0.892857;
1.000011;5.834163;22.208137;1.000001;0.000000;3.329109;0.781854;0.149905;2.363616;0.892857;
1.000012;5.834202;22.207931;1.000001;0.000000;3.329047;0.781854;0.149904;2.363603;0.892857;
1.000014;5.834281;22.207520;1.000001;-0.000000;3.328924;0.781854;0.149901;2.363577;0.892857;
1.000016;5.834352;22.207150;1.000001;-0.000000;3.328813;0.781854;0.149898;2.363553;0.892857;
1.000017;5.834424;22.206780;1.000001;0.000000;3.328702;0.781854;0.149896;2.363529;0.892857;
1.000019;5.834495;22.206410;1.000001;0.000000;3.328591;0.781854;0.149893;2.363506;0.892857;
1.000021;5.834566;22.206040;1.000001;0.000000;3.328480;0.781854;0.149891;2.363482;0.892857;
1.000023;5.834637;22.205670;1.000002;0.000000;3.328369;0.781854;0.149888;2.363458;0.892857;
1.000025;5.834708;22.205300;1.000002;0.000000;3.328258;0.781854;0.149886;2.363435;0.892857;
1.000026;5.834779;22.204930;1.000002;0.000000;3.328148;0.781854;0.149883;2.363411;0.892857;
1.000028;5.834850;22.204560;1.000002;-0.000000;3.328037;0.781854;0.149881;2.363387;0.892857;
1.000030;5.834921;22.204190;1.000002;-0.000000;3.327926;0.781854;0.149878;2.363364;0.892857;
1.000032;5.834992;22.203820;1.000002;0.000000;3.327815;0.781854;0.149876;2.363340;0.892857;
