time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_efdPu;
0.000000;1.000000;1.000000;
0.001000;1.000000;1.000000;
0.002000;1.000000;1.000000;
0.004000;1.000000;1.000000;
0.008000;1.000000;1.000000;
0.016000;1.000000;1.000000;
0.032000;1.000000;1.000000;
0.064000;1.000000;1.000000;
0.100000;1.000000;1.000000;
0.100000;1.000000;1.000000;
0.100062;1.000000;1.015464;
0.100125;1.000000;1.030881;
0.100187;1.000001;1.046252;
0.100312;1.000001;1.076882;
0.100437;1.000002;1.107341;
0.100562;1.000004;1.137618;
0.100812;1.000008;1.197617;
0.101312;1.000021;1.315456;
0.101812;1.000039;1.430459;
0.102312;1.000063;1.542695;
0.102812;1.000093;1.652233;
0.103312;1.000129;1.759137;
0.103812;1.000170;1.863473;
0.104312;1.000216;1.965304;
0.104812;1.000268;2.064690;
0.105312;1.000325;2.161691;
0.105812;1.000388;2.256363;
0.106312;1.000455;2.348763;
0.106812;1.000528;2.438943;
0.107312;1.000606;2.526958;
0.107812;1.000689;2.612856;
0.108312;1.000777;2.696688;
0.108812;1.000869;2.778502;
0.109312;1.000967;2.858343;
0.109812;1.001069;2.936257;
0.110312;1.001176;3.012287;
0.110812;1.001287;3.086476;
0.111312;1.001403;3.158865;
0.111812;1.001524;3.229493;
0.112312;1.001649;3.298401;
0.112812;1.001779;3.365624;
0.113312;1.001912;3.431200;
0.113812;1.002050;3.495165;
0.114312;1.002192;3.557552;
0.114812;1.002339;3.618395;
0.115312;1.002489;3.677728;
0.115812;1.002644;3.735580;
0.116312;1.002802;3.791983;
0.116812;1.002965;3.846968;
0.117312;1.003131;3.900561;
0.117812;1.003302;3.952793;
0.118312;1.003476;4.003690;
0.118812;1.003653;4.053278;
0.119312;1.003835;4.101584;
0.120312;1.004208;4.194480;
0.121212;1.004557;4.273945;
0.122112;1.004916;4.349629;
0.123012;1.005286;4.421652;
0.123912;1.005667;4.490135;
0.124812;1.006058;4.555192;
0.125712;1.006460;4.616930;
0.126612;1.006870;4.675456;
0.127512;1.007291;4.730867;
0.128412;1.007720;4.783259;
0.129312;1.008159;4.832721;
0.130212;1.008606;4.879341;
0.131112;1.009061;4.923200;
0.132012;1.009525;4.964377;
0.132912;1.009996;5.002948;
0.133812;1.010476;5.038984;
0.134712;1.010962;5.072554;
0.135612;1.011456;5.103725;
0.136512;1.011956;5.132560;
0.137412;1.012463;5.159119;
0.138312;1.012977;5.183460;
0.139212;1.013496;5.205641;
0.140112;1.014022;5.225714;
0.141012;1.014553;5.243732;
0.141912;1.015090;5.259744;
0.142812;1.015631;5.273799;
0.143712;1.016178;5.285943;
0.144612;1.016730;5.296221;
0.145512;1.017286;5.304677;
0.146412;1.017846;5.311351;
0.147312;1.018410;5.316286;
0.148212;1.018978;5.319519;
0.149112;1.019550;5.321090;
0.150012;1.020125;5.321035;
0.150912;1.020704;5.319391;
0.151812;1.021285;5.316192;
0.152712;1.021869;5.311473;
0.153612;1.022455;5.305266;
0.154512;1.023044;5.297605;
0.155412;1.023635;5.288520;
0.156312;1.024228;5.278043;
0.157212;1.024823;5.266204;
0.158112;1.025419;5.253032;
0.159012;1.026016;5.238557;
0.159912;1.026615;5.222807;
0.160812;1.027215;5.205810;
0.161712;1.027815;5.187594;
0.162612;1.028416;5.168184;
0.163512;1.029017;5.147608;
0.165312;1.030219;5.103096;
0.166932;1.031301;5.059304;
0.168552;1.032381;5.012135;
0.170172;1.033458;4.961724;
0.171792;1.034531;4.908208;
0.173412;1.035600;4.851724;
0.175032;1.036663;4.792405;
0.176652;1.037720;4.730383;
0.178272;1.038769;4.665787;
0.179892;1.039810;4.598745;
0.181512;1.040842;4.529383;
0.183132;1.041863;4.457826;
0.184752;1.042874;4.384197;
0.186372;1.043874;4.308618;
0.187992;1.044861;4.231208;
0.189612;1.045835;4.152086;
0.191232;1.046795;4.071371;
0.192852;1.047741;3.989178;
0.194472;1.048672;3.905623;
0.196092;1.049588;3.820819;
0.197712;1.050487;3.734878;
0.199332;1.051369;3.647913;
0.200952;1.052234;3.560033;
0.202572;1.053081;3.471346;
0.204192;1.053910;3.381960;
0.205812;1.054720;3.291980;
0.207432;1.055511;3.201511;
0.209052;1.056282;3.110655;
0.210672;1.057034;3.019512;
0.212292;1.057765;2.928184;
0.213912;1.058475;2.836767;
0.215532;1.059164;2.745357;
0.217152;1.059833;2.654048;
0.218772;1.060480;2.562934;
0.220392;1.061105;2.472103;
0.222012;1.061708;2.381646;
0.223632;1.062290;2.291647;
0.225252;1.062849;2.202191;
0.226872;1.063386;2.113361;
0.228492;1.063901;2.025237;
0.230112;1.064394;1.937895;
0.231732;1.064864;1.851412;
0.233352;1.065312;1.765861;
0.234972;1.065737;1.681312;
0.236592;1.066140;1.597834;
0.238212;1.066520;1.515493;
0.239832;1.066879;1.434351;
0.241452;1.067215;1.354471;
0.243072;1.067529;1.275910;
0.244692;1.067821;1.198724;
0.246312;1.068092;1.122966;
0.247932;1.068341;1.048688;
0.249552;1.068568;0.975936;
0.251172;1.068774;0.904757;
0.252792;1.068960;0.835194;
0.254412;1.069125;0.767286;
0.256032;1.069269;0.701071;
0.257652;1.069393;0.636584;
0.259272;1.069498;0.573857;
0.260892;1.069582;0.512921;
0.262512;1.069648;0.453802;
0.264132;1.069695;0.396525;
0.267372;1.069733;0.287598;
0.270288;1.069707;0.196053;
0.273204;1.069625;0.110736;
0.276120;1.069491;0.031699;
0.279036;1.069306;-0.041030;
0.281952;1.069073;-0.107443;
0.284868;1.068794;-0.167558;
0.287784;1.068472;-0.221413;
0.290700;1.068110;-0.269065;
0.293616;1.067710;-0.310594;
0.296532;1.067276;-0.346096;
0.299448;1.066809;-0.375686;
0.302364;1.066313;-0.399494;
0.305280;1.065790;-0.417666;
0.308196;1.065244;-0.430362;
0.311112;1.064676;-0.437755;
0.314028;1.064089;-0.440028;
0.316944;1.063486;-0.437376;
0.319860;1.062870;-0.430001;
0.322776;1.062243;-0.418117;
0.325401;1.061671;-0.403724;
0.328025;1.061094;-0.386011;
0.330650;1.060513;-0.365147;
0.333274;1.059930;-0.341304;
0.335898;1.059348;-0.314653;
0.338523;1.058766;-0.285365;
0.341147;1.058187;-0.253615;
0.343772;1.057612;-0.219576;
0.346396;1.057043;-0.183420;
0.349020;1.056481;-0.145319;
0.351645;1.055926;-0.105446;
0.354269;1.055381;-0.063968;
0.356894;1.054846;-0.021054;
0.359518;1.054322;0.023132;
0.362142;1.053810;0.068428;
0.364767;1.053312;0.114676;
0.367391;1.052827;0.161719;
0.370016;1.052358;0.209406;
0.372640;1.051903;0.257589;
0.375264;1.051465;0.306125;
0.377889;1.051043;0.354875;
0.380513;1.050639;0.403705;
0.383138;1.050252;0.452484;
0.385762;1.049883;0.501089;
0.388386;1.049532;0.549399;
0.391011;1.049200;0.597301;
0.393635;1.048887;0.644684;
0.396260;1.048592;0.691446;
0.398884;1.048316;0.737487;
0.401508;1.048060;0.782715;
0.404133;1.047822;0.827043;
0.406757;1.047604;0.870387;
0.409382;1.047404;0.912672;
0.412006;1.047223;0.953827;
0.414630;1.047061;0.993785;
0.417255;1.046917;1.032486;
0.419879;1.046790;1.069875;
0.422504;1.046682;1.105896;
0.425128;1.046591;1.140513;
0.427752;1.046517;1.173684;
0.430377;1.046459;1.205377;
0.433001;1.046418;1.235560;
0.435626;1.046392;1.264211;
0.438250;1.046381;1.291308;
0.440874;1.046385;1.316836;
0.446123;1.046435;1.363139;
0.451372;1.046537;1.403100;
0.456621;1.046686;1.436751;
0.461870;1.046878;1.464184;
0.467118;1.047108;1.485541;
0.472367;1.047370;1.501012;
0.477091;1.047631;1.510081;
0.481815;1.047911;1.514765;
0.486066;1.048176;1.515411;
0.490318;1.048451;1.512864;
0.494144;1.048706;1.507992;
0.497971;1.048965;1.500829;
0.501797;1.049227;1.491527;
0.505623;1.049490;1.480239;
0.509450;1.049752;1.467123;
0.513276;1.050013;1.452339;
0.517103;1.050271;1.436049;
0.520929;1.050524;1.418412;
0.524755;1.050772;1.399591;
0.528582;1.051012;1.379745;
0.532408;1.051246;1.359033;
0.536234;1.051470;1.337608;
0.540061;1.051685;1.315622;
0.543887;1.051890;1.293222;
0.547714;1.052083;1.270551;
0.551540;1.052265;1.247746;
0.555366;1.052436;1.224937;
0.559193;1.052594;1.202249;
0.563019;1.052739;1.179802;
0.566846;1.052872;1.157699;
0.570672;1.052991;1.136046;
0.574498;1.053098;1.114946;
0.578325;1.053191;1.094487;
0.582151;1.053272;1.074751;
0.585977;1.053340;1.055811;
0.589804;1.053395;1.037731;
0.593630;1.053438;1.020569;
0.597457;1.053469;1.004375;
0.601283;1.053489;0.989189;
0.605109;1.053497;0.975046;
0.608936;1.053495;0.961971;
0.612762;1.053483;0.949985;
0.620415;1.053431;0.929318;
0.628068;1.053345;0.913033;
0.635720;1.053231;0.901047;
0.643373;1.053092;0.893201;
0.651026;1.052935;0.889266;
0.657906;1.052781;0.888844;
0.664098;1.052635;0.890786;
0.669672;1.052500;0.894244;
0.675245;1.052363;0.899163;
0.680818;1.052227;0.905380;
0.686391;1.052091;0.912730;
0.691964;1.051959;0.921050;
0.697537;1.051830;0.930174;
0.703110;1.051707;0.939943;
0.708683;1.051589;0.950199;
0.714256;1.051479;0.960791;
0.719829;1.051376;0.971575;
0.725403;1.051281;0.982414;
0.730976;1.051194;0.993181;
0.736549;1.051116;1.003759;
0.742122;1.051047;1.014042;
0.747695;1.050987;1.023933;
0.753268;1.050937;1.033349;
0.758841;1.050894;1.042216;
0.764414;1.050861;1.050472;
0.769987;1.050835;1.058062;
0.775560;1.050818;1.064955;
0.781134;1.050808;1.071123;
0.786707;1.050804;1.076548;
0.797853;1.050816;1.085146;
0.808999;1.050848;1.090815;
0.820145;1.050895;1.093714;
0.830177;1.050948;1.094145;
0.839205;1.051000;1.092964;
0.847331;1.051049;1.090797;
0.855456;1.051098;1.087744;
0.863582;1.051146;1.083970;
0.871707;1.051191;1.079640;
0.879833;1.051233;1.074913;
0.887959;1.051270;1.069942;
0.896084;1.051302;1.064870;
0.904210;1.051328;1.059828;
0.912335;1.051348;1.054935;
0.920461;1.051362;1.050292;
0.928587;1.051371;1.045984;
0.936712;1.051373;1.042082;
0.944838;1.051370;1.038637;
0.952963;1.051361;1.035687;
0.961089;1.051348;1.033252;
0.969214;1.051331;1.031340;
0.985466;1.051287;1.029008;
1.001717;1.051235;1.028498;
1.016343;1.051184;1.029372;
1.029506;1.051137;1.031020;
1.041353;1.051096;1.033021;
1.053200;1.051058;1.035337;
1.063863;1.051026;1.037569;
1.074525;1.050997;1.039829;
1.085187;1.050974;1.041955;
1.094335;1.050957;1.043640;
1.102567;1.050943;1.045023;
1.109976;1.050932;1.046145;
1.116645;1.050924;1.047051;
1.123313;1.050917;1.047850;
1.129981;1.050910;1.048542;
1.143318;1.050900;1.049674;
1.156655;1.050892;1.050413;
1.169991;1.050886;1.050773;
1.187044;1.050881;1.050750;
1.204097;1.050877;1.050287;
1.221150;1.050873;1.049519;
1.238203;1.050868;1.048582;
1.255256;1.050860;1.047604;
1.272309;1.050849;1.046758;
1.287657;1.050838;1.046141;
1.301388;1.050827;1.045723;
1.313746;1.050816;1.045455;
1.326104;1.050804;1.045284;
1.338462;1.050792;1.045207;
1.363177;1.050768;1.045247;
1.385422;1.050746;1.045490;
1.410584;1.050722;1.045914;
1.435746;1.050700;1.046399;
1.460908;1.050680;1.046860;
1.486070;1.050661;1.047232;
1.511232;1.050644;1.047487;
1.536394;1.050628;1.047622;
1.586718;1.050598;1.047662;
1.629780;1.050574;1.047566;
1.672841;1.050549;1.047489;
1.715903;1.050525;1.047489;
1.758964;1.050501;1.047578;
1.845087;1.050456;1.047869;
1.915025;1.050423;1.048112;
1.984964;1.050393;1.048288;
2.000000;1.050387;1.048315;
