time;SynchronousGenerator_generator_UPu;SynchronousGenerator_generator_PGenPu;SynchronousGenerator_generator_PmPu;SynchronousGenerator_generator_omegaPu;
0.000000;1.000000;3.800000;0.800000;1.000000;
0.000001;1.000000;3.800000;0.800000;1.000000;
0.000002;1.000000;3.800000;0.800000;1.000000;
0.000004;1.000000;3.800000;0.800000;1.000000;
0.000008;1.000000;3.800000;0.800000;1.000000;
0.000016;1.000000;3.800000;0.800000;1.000000;
0.000032;1.000000;3.800000;0.800000;1.000000;
0.000064;1.000000;3.800000;0.800000;1.000000;
0.000128;1.000000;3.800000;0.800000;1.000000;
0.000256;1.000000;3.800000;0.800000;1.000000;
0.000512;1.000000;3.800000;0.800000;1.000000;
0.001024;1.000000;3.800000;0.800000;1.000000;
0.002048;1.000000;3.800000;0.800000;1.000000;
0.004096;1.000000;3.800000;0.800000;1.000000;
0.008192;1.000000;3.800000;0.800000;1.000000;
0.016384;1.000000;3.800000;0.800000;1.000000;
0.032768;1.000000;3.800000;0.800000;1.000000;
0.065536;1.000000;3.800000;0.800000;1.000000;
0.100000;1.000000;3.800000;0.800000;1.000000;
0.100000;0.998408;4.024735;0.800000;1.000000;
0.100001;0.998410;4.024667;0.800000;1.000000;
0.100002;0.998409;4.024667;0.800000;1.000000;
0.100004;0.998409;4.024665;0.800000;1.000000;
0.100006;0.998409;4.024665;0.800000;1.000000;
0.100010;0.998409;4.024664;0.800000;1.000000;
0.100013;0.998409;4.024662;0.800000;1.000000;
0.100017;0.998409;4.024661;0.800000;1.000000;
0.100021;0.998409;4.024659;0.800000;1.000000;
0.100024;0.998408;4.024658;0.800000;1.000000;
0.100028;0.998408;4.024657;0.800000;1.000000;
0.100031;0.998408;4.024655;0.800000;1.000000;
0.100035;0.998408;4.024654;0.800000;1.000000;
0.100036;0.998408;4.024653;0.800000;1.000000;
0.100037;0.998408;4.024653;0.800000;1.000000;
0.100038;0.998408;4.024653;0.800000;1.000000;
0.100040;0.998408;4.024652;0.800000;1.000000;
0.100044;0.998407;4.024650;0.800000;1.000000;
0.100052;0.998407;4.024647;0.800000;1.000000;
0.100060;0.998407;4.024644;0.800000;1.000000;
0.100076;0.998406;4.024638;0.800000;1.000000;
0.100092;0.998405;4.024632;0.800000;0.999999;
0.100124;0.998404;4.024620;0.800000;0.999999;
0.100188;0.998401;4.024596;0.800000;0.999999;
0.100316;0.998395;4.024548;0.800000;0.999998;
0.100572;0.998383;4.024453;0.800000;0.999997;
0.101084;0.998360;4.024265;0.800000;0.999994;
0.101596;0.998337;4.024081;0.800000;0.999991;
0.102108;0.998314;4.023899;0.800000;0.999988;
0.103132;0.998270;4.023542;0.800000;0.999982;
0.104156;0.998227;4.023196;0.800000;0.999977;
0.106204;0.998145;4.022536;0.800000;0.999965;
0.108252;0.998068;4.021918;0.800000;0.999954;
0.112348;0.997929;4.020796;0.800000;0.999931;
0.116444;0.997808;4.019818;0.800000;0.999909;
0.120540;0.997702;4.018968;0.800000;0.999886;
0.124636;0.997611;4.018236;0.800000;0.999864;
0.128732;0.997534;4.017608;0.799999;0.999842;
0.132828;0.997467;4.017075;0.799999;0.999819;
0.136924;0.997412;4.016625;0.799998;0.999797;
0.141020;0.997365;4.016251;0.799997;0.999775;
0.145116;0.997327;4.015945;0.799996;0.999753;
0.149212;0.997296;4.015698;0.799995;0.999731;
0.153308;0.997272;4.015505;0.799993;0.999709;
0.157404;0.997254;4.015360;0.799991;0.999686;
0.161500;0.997242;4.015256;0.799988;0.999664;
0.165596;0.997233;4.015190;0.799985;0.999642;
0.169692;0.997229;4.015157;0.799982;0.999620;
0.173788;0.997229;4.015152;0.799978;0.999598;
0.177884;0.997231;4.015173;0.799973;0.999576;
0.181980;0.997237;4.015216;0.799968;0.999554;
0.186076;0.997244;4.015278;0.799962;0.999532;
0.190172;0.997254;4.015356;0.799956;0.999510;
0.193343;0.997263;4.015427;0.799951;0.999493;
0.193344;0.997263;4.015427;0.799951;0.999493;
0.193345;0.997263;4.015427;0.799951;0.999493;
0.193347;0.997263;4.015427;0.799951;0.999493;
0.193351;0.997263;4.015427;0.799951;0.999493;
0.193359;0.997263;4.015427;0.799951;0.999493;
0.193375;0.997263;4.015427;0.799951;0.999493;
0.193407;0.997263;4.015428;0.799951;0.999493;
0.193471;0.997263;4.015430;0.799951;0.999492;
0.193599;0.997263;4.015433;0.799951;0.999492;
0.193855;0.997264;4.015439;0.799950;0.999490;
0.194367;0.997266;4.015451;0.799949;0.999487;
0.195391;0.997269;4.015477;0.799947;0.999482;
0.197439;0.997275;4.015529;0.799944;0.999471;
0.201535;0.997289;4.015642;0.799936;0.999449;
0.205631;0.997305;4.015763;0.799927;0.999427;
0.213823;0.997337;4.016025;0.799909;0.999382;
0.221196;0.997368;4.016276;0.799891;0.999342;
0.228569;0.997401;4.016536;0.799873;0.999302;
0.235942;0.997433;4.016801;0.799853;0.999262;
0.243314;0.997466;4.017066;0.799833;0.999222;
0.250687;0.997499;4.017327;0.799812;0.999182;
0.258060;0.997530;4.017583;0.799791;0.999141;
0.265433;0.997561;4.017831;0.799771;0.999101;
0.272806;0.997591;4.018071;0.799751;0.999061;
0.280178;0.997619;4.018300;0.799731;0.999020;
0.287551;0.997647;4.018518;0.799712;0.998980;
0.294924;0.997672;4.018725;0.799695;0.998939;
0.302297;0.997697;4.018921;0.799678;0.998898;
0.309670;0.997719;4.019105;0.799663;0.998858;
0.317042;0.997741;4.019277;0.799649;0.998817;
0.324415;0.997761;4.019439;0.799637;0.998776;
0.331788;0.997779;4.019589;0.799627;0.998735;
0.339161;0.997797;4.019728;0.799619;0.998695;
0.353906;0.997828;4.019977;0.799611;0.998613;
0.367178;0.997851;4.020169;0.799613;0.998539;
0.380449;0.997872;4.020333;0.799623;0.998465;
0.393720;0.997889;4.020471;0.799644;0.998391;
0.406991;0.997904;4.020587;0.799676;0.998318;
0.420262;0.997915;4.020682;0.799719;0.998244;
0.433533;0.997925;4.020759;0.799774;0.998170;
0.446804;0.997933;4.020820;0.799842;0.998096;
0.460075;0.997938;4.020867;0.799923;0.998023;
0.473346;0.997943;4.020903;0.800017;0.997949;
0.486617;0.997946;4.020927;0.800125;0.997876;
0.499888;0.997948;4.020943;0.800246;0.997803;
0.513159;0.997949;4.020951;0.800382;0.997730;
0.526430;0.997949;4.020952;0.800531;0.997657;
0.539701;0.997948;4.020948;0.800695;0.997585;
0.552972;0.997947;4.020940;0.800874;0.997512;
0.555243;0.997947;4.020938;0.800906;0.997500;
0.555243;0.997947;4.020936;0.800906;0.997500;
0.555244;0.997947;4.020936;0.800906;0.997500;
0.555245;0.997947;4.020936;0.800906;0.997500;
0.555247;0.997947;4.020936;0.800906;0.997500;
0.555251;0.997947;4.020936;0.800906;0.997500;
0.555259;0.997947;4.020936;0.800906;0.997500;
0.555275;0.997947;4.020936;0.800906;0.997500;
0.555307;0.997947;4.020936;0.800906;0.997500;
0.555371;0.997947;4.020936;0.800907;0.997499;
0.555499;0.997947;4.020936;0.800909;0.997499;
0.555755;0.997947;4.020936;0.800913;0.997497;
0.556267;0.997947;4.020935;0.800920;0.997494;
0.557291;0.997946;4.020934;0.800935;0.997489;
0.559339;0.997946;4.020932;0.800964;0.997478;
0.561387;0.997946;4.020930;0.800994;0.997467;
0.563435;0.997946;4.020928;0.801025;0.997456;
0.567531;0.997945;4.020924;0.801086;0.997433;
0.571627;0.997945;4.020919;0.801149;0.997411;
0.575723;0.997944;4.020914;0.801213;0.997389;
0.583915;0.997943;4.020904;0.801345;0.997345;
0.592107;0.997941;4.020893;0.801482;0.997301;
0.608491;0.997938;4.020869;0.801772;0.997214;
0.623237;0.997935;4.020846;0.802049;0.997135;
0.637982;0.997933;4.020822;0.802342;0.997057;
0.652728;0.997930;4.020798;0.802648;0.996980;
0.667473;0.997927;4.020774;0.802967;0.996904;
0.682219;0.997924;4.020750;0.803299;0.996827;
0.696965;0.997921;4.020727;0.803641;0.996752;
0.711710;0.997918;4.020705;0.803994;0.996677;
0.726456;0.997915;4.020683;0.804357;0.996603;
0.741201;0.997913;4.020663;0.804728;0.996529;
0.755947;0.997910;4.020645;0.805107;0.996456;
0.770693;0.997908;4.020627;0.805492;0.996384;
0.785438;0.997906;4.020611;0.805884;0.996312;
0.800184;0.997905;4.020597;0.806282;0.996241;
0.814929;0.997903;4.020584;0.806685;0.996171;
0.829675;0.997901;4.020572;0.807092;0.996101;
0.844421;0.997900;4.020562;0.807503;0.996033;
0.859166;0.997899;4.020553;0.807918;0.995965;
0.873912;0.997898;4.020546;0.808335;0.995897;
0.888657;0.997897;4.020540;0.808755;0.995831;
0.903403;0.997897;4.020535;0.809178;0.995765;
0.918149;0.997896;4.020532;0.809602;0.995700;
0.932894;0.997896;4.020530;0.810028;0.995635;
0.947640;0.997896;4.020529;0.810455;0.995572;
0.962385;0.997896;4.020529;0.810883;0.995509;
0.977131;0.997896;4.020530;0.811311;0.995446;
0.991877;0.997897;4.020532;0.811740;0.995385;
1.006622;0.997897;4.020535;0.812170;0.995324;
1.021368;0.997897;4.020539;0.812599;0.995265;
1.036113;0.997898;4.020544;0.813028;0.995205;
1.050859;0.997899;4.020550;0.813457;0.995147;
1.065605;0.997899;4.020556;0.813886;0.995089;
1.080350;0.997900;4.020563;0.814314;0.995032;
1.095096;0.997901;4.020571;0.814741;0.994976;
1.109841;0.997902;4.020580;0.815168;0.994921;
1.124587;0.997904;4.020589;0.815593;0.994866;
1.139333;0.997905;4.020598;0.816018;0.994812;
1.154078;0.997906;4.020609;0.816441;0.994759;
1.168824;0.997907;4.020619;0.816863;0.994707;
1.183569;0.997909;4.020630;0.817284;0.994655;
1.198315;0.997910;4.020642;0.817703;0.994604;
1.213061;0.997912;4.020654;0.818121;0.994554;
1.219678;0.997911;4.020659;0.818308;0.994531;
1.219679;0.997912;4.020660;0.818308;0.994531;
1.219680;0.997912;4.020660;0.818308;0.994531;
1.219682;0.997912;4.020660;0.818309;0.994531;
1.219686;0.997912;4.020660;0.818309;0.994531;
1.219694;0.997912;4.020660;0.818309;0.994531;
1.219710;0.997912;4.020660;0.818309;0.994531;
1.219742;0.997912;4.020660;0.818310;0.994531;
1.219806;0.997912;4.020660;0.818312;0.994531;
1.219934;0.997912;4.020660;0.818316;0.994531;
1.220190;0.997912;4.020660;0.818323;0.994530;
1.220702;0.997912;4.020661;0.818337;0.994528;
1.221726;0.997913;4.020661;0.818366;0.994525;
1.223774;0.997913;4.020663;0.818424;0.994518;
1.225822;0.997913;4.020665;0.818482;0.994511;
1.227870;0.997913;4.020667;0.818539;0.994504;
1.231966;0.997914;4.020670;0.818655;0.994490;
1.236062;0.997914;4.020674;0.818770;0.994477;
1.240158;0.997914;4.020677;0.818884;0.994463;
1.248350;0.997915;4.020684;0.819113;0.994436;
1.264734;0.997917;4.020699;0.819565;0.994383;
1.281118;0.997919;4.020718;0.820010;0.994331;
1.297502;0.997921;4.020740;0.820446;0.994280;
1.313886;0.997922;4.020760;0.820873;0.994229;
1.330270;0.997924;4.020781;0.821289;0.994180;
1.346654;0.997925;4.020801;0.821695;0.994131;
1.363038;0.997927;4.020822;0.822090;0.994083;
1.379422;0.997928;4.020841;0.822474;0.994035;
1.395806;0.997929;4.020861;0.822847;0.993989;
1.412190;0.997930;4.020879;0.823209;0.993943;
1.428574;0.997931;4.020897;0.823560;0.993897;
1.444958;0.997932;4.020915;0.823901;0.993853;
1.461342;0.997932;4.020931;0.824231;0.993809;
1.477726;0.997933;4.020947;0.824551;0.993766;
1.494110;0.997933;4.020961;0.824862;0.993723;
1.510494;0.997933;4.020975;0.825164;0.993681;
1.526878;0.997933;4.020988;0.825456;0.993640;
1.550226;0.997936;4.020846;0.825859;0.993581;
1.571239;0.997937;4.020854;0.826207;0.993530;
1.590151;0.997937;4.020862;0.826509;0.993484;
1.609062;0.997938;4.020887;0.826802;0.993440;
1.627974;0.997939;4.020910;0.827087;0.993395;
1.646886;0.997939;4.020933;0.827362;0.993352;
1.665798;0.997939;4.020955;0.827630;0.993309;
1.703621;0.997940;4.020880;0.828144;0.993225;
1.734823;0.997940;4.020882;0.828548;0.993157;
1.766025;0.997937;4.021035;0.828936;0.993091;
1.797227;0.997932;4.021167;0.829309;0.993026;
1.828428;0.997925;4.021300;0.829669;0.992962;
1.859630;0.997914;4.021425;0.830018;0.992900;
1.890832;0.997900;4.021539;0.830356;0.992840;
1.922034;0.997884;4.021642;0.830684;0.992780;
1.953236;0.997865;4.021734;0.831004;0.992722;
1.984437;0.997843;4.021817;0.831317;0.992665;
2.015639;0.997819;4.021888;0.831623;0.992610;
2.046841;0.997794;4.021950;0.831922;0.992556;
2.078043;0.997766;4.022001;0.832217;0.992503;
2.109244;0.997737;4.022042;0.832506;0.992451;
2.140446;0.997708;4.022073;0.832791;0.992401;
2.171648;0.997677;4.022092;0.833072;0.992352;
2.202850;0.997646;4.022100;0.833349;0.992304;
2.234051;0.997614;4.022096;0.833623;0.992257;
2.265253;0.997583;4.022081;0.833895;0.992211;
2.296455;0.997551;4.022053;0.834164;0.992167;
2.327657;0.997521;4.022013;0.834431;0.992124;
2.358859;0.997491;4.021960;0.834695;0.992082;
2.390060;0.997462;4.021896;0.834958;0.992041;
2.421262;0.997435;4.021819;0.835220;0.992002;
