time;SVarC_injector_UPu;SVarC_injector_BPu;SVarC_injector_GPu;SVarC_injector_PInjPu;SVarC_injector_QInjPu;SVarC_control_regulation_IPu;SVarC_control_regulation_IMaxPu;SVarC_control_modeHandling_mode;SVarC_control_modeHandling_URefPu;
0;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
2.6165e-08;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
2.6165e-08;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
2.6695e-08;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
2.6695e-08;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
1.0267e-06;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
2.0267e-06;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
4.0267e-06;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
8.0267e-06;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
1.60267e-05;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
3.20267e-05;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
6.40267e-05;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.000128027;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.000256027;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.000512027;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.00102403;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.00204803;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.00409603;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.00819203;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.016384;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.032768;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.065536;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.131072;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.262144;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
0.524288;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;1.000000;
