time;WT4A_WT4A_injector_PInjPu;WT4A_WT4A_injector_QInjPu;WT4A_WT4A_injector_terminal_V_re;WT4A_WT4A_injector_terminal_i_re;WT4A_WT4A_injector_terminal_V_im;WT4A_WT4A_injector_terminal_i_im;WT4A_WT4A_pll_omegaPLLPu;WT4A_WT4A_wecc_wtgt_PePu;
0.000000;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000001;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000002;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000004;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000008;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000016;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000032;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000064;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000128;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000256;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.000512;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.001024;0.700006;0.279506;1.030009;-0.700000;0.105006;0.199999;1.000001;0.700000;
0.002048;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
0.004096;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
0.008192;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
0.016384;0.700006;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
0.032768;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
0.065536;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
0.131072;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
0.262144;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
0.524288;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
1.000000;0.700005;0.279505;1.030009;-0.700000;0.105006;0.199999;1.000000;0.700000;
1.000000;0.420005;0.199506;0.630009;-0.700000;0.105006;0.199999;1.121701;0.420000;
1.000001;0.420010;0.199492;0.630006;-0.700008;0.105008;0.199975;1.121633;0.420005;
1.000002;0.420015;0.199478;0.630002;-0.700016;0.105009;0.199952;1.121566;0.420010;
1.000004;0.420024;0.199450;0.629995;-0.700032;0.105011;0.199905;1.121431;0.420019;
1.000008;0.420044;0.199395;0.629981;-0.700064;0.105016;0.199811;1.121161;0.420038;
1.000016;0.420082;0.199285;0.629953;-0.700127;0.105026;0.199624;1.120624;0.420076;
1.000032;0.420157;0.199067;0.629897;-0.700253;0.105044;0.199254;1.119556;0.420152;
1.000064;0.420307;0.198639;0.629788;-0.700503;0.105082;0.198525;1.117449;0.420302;
1.000128;0.420601;0.197812;0.629577;-0.700993;0.105155;0.197114;1.113348;0.420596;
1.000256;0.421167;0.196273;0.629181;-0.701937;0.105297;0.194476;1.105573;0.421162;
1.000384;0.421707;0.194879;0.628820;-0.702837;0.105432;0.192071;1.098342;0.421702;
1.000640;0.422726;0.192488;0.628192;-0.704535;0.105687;0.187884;1.085327;0.422721;
1.000870;0.423587;0.190754;0.627726;-0.705970;0.105902;0.184778;1.075131;0.423582;
1.001101;0.424410;0.189372;0.627343;-0.707342;0.106108;0.182225;1.066189;0.424405;
1.001331;0.425208;0.188307;0.627034;-0.708671;0.106307;0.180166;1.058354;0.425203;
1.001341;0.425243;0.188267;0.627022;-0.708729;0.106316;0.180086;1.058031;0.425238;
1.001342;0.425246;0.188263;0.627021;-0.708735;0.106317;0.180078;1.058000;0.425241;
1.001343;0.425250;0.188259;0.627020;-0.708740;0.106318;0.180070;1.057969;0.425244;
1.001345;0.425256;0.188251;0.627017;-0.708752;0.106320;0.180054;1.057906;0.425251;
1.001349;0.425270;0.188236;0.627013;-0.708774;0.106323;0.180024;1.057781;0.425265;
1.001357;0.425297;0.188206;0.627004;-0.708820;0.106330;0.179963;1.057532;0.425292;
1.001373;0.425352;0.188147;0.626986;-0.708911;0.106343;0.179843;1.057037;0.425346;
1.001405;0.425461;0.188035;0.626951;-0.709092;0.106371;0.179612;1.056060;0.425455;
1.001469;0.425679;0.187833;0.626887;-0.709456;0.106425;0.179185;1.054159;0.425674;
1.001597;0.426117;0.187517;0.626779;-0.710186;0.106535;0.178464;1.050556;0.426112;
1.001853;0.427005;0.187214;0.626637;-0.711666;0.106757;0.177517;1.044079;0.427000;
1.002109;0.427914;0.187325;0.626588;-0.713182;0.106984;0.177191;1.038485;0.427909;
